"Date","SINTEX.NS.Open","SINTEX.NS.High","SINTEX.NS.Low","SINTEX.NS.Close","SINTEX.NS.Volume","SINTEX.NS.Adjusted"
2007-06-19,112.318001,113.251999,111.925003,112.883003,99910,101.8386
2007-06-20,114.405998,117.058998,113.005997,115.142998,517469,103.877457
2007-06-21,115.462997,116.912003,113.324997,114.357002,109904,103.168373
2007-06-22,115.438004,115.560997,112.146004,112.539001,54489,101.528244
2007-06-25,114.431,115.462997,112.637001,113.349998,41656,102.259888
2007-06-26,113.276001,124.306,113.276001,116.223999,520788,104.852692
2007-06-27,117.918999,118.902,115.462997,116.494003,118784,105.096291
2007-06-28,116.936996,118.902,113.988998,117.084,115499,105.628548
2007-06-29,116.100998,118.386002,116.100998,116.862999,52891,105.429169
2007-07-02,114.971001,140.25,114.971001,126.320999,3745817,113.961815
2007-07-03,128.727997,128.727997,120.375999,121.457001,696705,109.573715
2007-07-04,124.797997,132.658997,121.751999,127.623001,1901005,115.136429
2007-07-05,130.201996,131.184998,126.074997,127.573997,374081,115.092224
2007-07-06,129.464996,133.542999,127.769997,129.268997,409073,116.621384
2007-07-09,130.694,130.694,127.746002,129.121994,93986,116.488754
2007-07-10,127.990997,132.658997,127.990997,130.694,431571,117.90696
2007-07-11,130.694,150.740005,127.746002,138.653,2981463,125.087257
2007-07-12,140.520004,144.647995,138.727005,141.528,900102,127.680984
2007-07-13,142.240005,149.266006,139.561996,142.363007,743930,128.434265
2007-07-16,141.970001,141.970001,133.149994,134.649002,315415,121.475014
2007-07-17,136.024994,138.554993,131.701004,136.589996,509637,123.226089
2007-07-18,133.199997,142.485992,130.938995,140.078003,536122,126.372849
2007-07-19,141.453995,142.485992,137.106003,140.863998,359713,127.081917
2007-07-20,142.977005,144.942001,137.572006,140.225998,893465,126.506355
2007-07-23,139.537994,145.434006,138.309006,141.453995,459221,127.614182
2007-07-24,143.223007,153.294998,141.257004,146.710999,484192,132.356888
2007-07-25,144.304001,147.399002,142.485992,146.048004,169171,131.758759
2007-07-26,146.858994,150.347,143.468002,147.251999,711951,132.844925
2007-07-27,142.485992,146.367004,140.029007,140.643005,221065,126.882561
2007-07-30,144.869003,145.016006,136.589996,139.464005,1340087,125.818909
2007-07-31,142.460999,142.485992,137.621994,139.733994,135402,126.062469
2007-08-01,137.720001,143.714005,132.658997,138.751999,239460,125.176559
2007-08-02,140.397995,142.214996,132.070007,138.850006,180577,125.264992
2007-08-03,141.723999,143.960007,134.132996,139.464005,580567,125.818909
2007-08-06,138.554993,138.554993,133.641998,136.393005,145045,123.04837
2007-08-07,139.046005,144.156006,138.063995,142.141998,154920,128.234894
2007-08-08,142.485992,148.873001,140.324005,146.317993,116258,132.002319
2007-08-09,147.889999,156.537994,143.074997,148.382004,964093,133.864395
2007-08-10,137.695007,148.382004,137.695007,144.229996,1195009,130.118607
2007-08-13,142.485992,150.837997,140.496002,147.522003,3854965,133.088501
2007-08-14,148.382004,149.363998,143.983994,144.720993,177050,130.561554
2007-08-16,147.153,147.153,136.098007,142.682007,233562,128.722046
2007-08-17,140.520004,144.304001,134.451996,141.945007,233875,128.057175
2007-08-20,144.942001,147.742996,140.716995,145.089996,907136,130.89444
2007-08-21,146.662003,150.837997,141.994003,144.697006,227556,130.539917
2007-08-22,144.451004,146.785004,142.977005,144.843994,195317,130.672501
2007-08-23,146.613007,147.399002,142.977005,145.457993,60397,131.22644
2007-08-24,146.785004,157.225998,144.942001,152.214005,191824,137.321442
2007-08-27,154.671005,156.733994,150.100998,154.154999,278106,139.07254
2007-08-28,152.804001,155.751999,152.804001,154.817993,91828,139.67067
2007-08-29,152.091003,166.070007,148.479996,164.080002,344915,148.026489
2007-08-30,164.595993,169.214005,159.190994,161.843994,168056,146.009262
2007-08-31,163.121994,164.595993,157.740997,158.404999,248283,142.906693
2007-09-03,159.214996,161.082993,154.350998,155.776001,458427,140.534943
2007-09-04,155.751999,159.190994,154.916,156.341003,384418,141.044678
2007-09-05,156.733994,159.044006,156.488998,157.938004,438345,142.485413
2007-09-06,157.225998,167.960999,157.225998,162.089996,1432174,146.231201
2007-09-07,166.070007,169.360992,159.707001,160.837006,867865,145.100769
2007-09-10,164.324997,164.324997,156.733994,158.970001,213989,143.416443
2007-09-11,162.089996,163.121994,156.733994,159.436996,207292,143.837753
2007-09-12,186.214005,186.214005,156.242996,157.593994,143462,142.175079
2007-09-13,158.207993,158.207993,154.768997,156.095993,86600,140.823608
2007-09-14,157.225998,157.225998,152.460007,154.326996,89028,139.227692
2007-09-17,157.126999,157.962997,155.481003,155.973007,392421,140.712662
2007-09-18,156.242996,157.716995,155.996994,157.593994,171447,142.175079
2007-09-19,159.682007,162.139008,155.776001,156.979996,148967,141.62114
2007-09-20,158.207993,159.141998,154.768997,156.438995,81768,141.133072
2007-09-21,157.225998,161.156006,152.386002,155.800995,244416,140.557495
2007-09-24,159.584,169.018005,157.716995,167.347,443103,150.973862
2007-09-25,171.964996,175.895996,162.237,174.791,463456,157.689514
2007-09-26,176.854004,177.763,171.080994,175.528,1000627,158.354416
2007-09-27,178.304001,181.792007,172.947998,177.738998,1422846,160.349106
2007-09-28,180.563995,180.563995,167.641998,170.639008,997584,153.943756
2007-10-01,172.457001,182.921997,168.403,181.768005,1032632,163.983932
2007-10-03,180.809006,185.231003,174.544998,182.479996,1460072,164.626236
2007-10-04,182.037994,183.511993,175.649994,176.804993,507811,159.5065
2007-10-05,178.820007,183.757004,176.878998,181.153,616345,163.429077
2007-10-08,184.100998,186.214005,177.860992,181.645004,1130949,163.87294
2007-10-09,181.792007,184.199997,175.895996,177.837006,469017,160.437531
2007-10-10,181.496994,183.462997,178.942001,181.645004,568221,163.87294
2007-10-11,180.563995,204.393005,177.860992,192.528,638614,173.691147
2007-10-12,187.983002,198.988998,186.705002,193.854004,626369,174.887405
2007-10-15,195.548996,200.462997,194.074997,198.718002,556819,179.275528
2007-10-16,201.445007,225.029007,197.367004,217.684006,1054151,196.38588
2007-10-17,185.108994,215.203003,185.108994,211.763,370667,191.044205
2007-10-18,225.029007,245.173996,182.356995,197.466003,652592,178.146042
2007-10-19,185.231003,204.393005,183.266006,190.856995,598097,172.183624
2007-10-22,175.380005,200.953995,175.380005,196.998993,250294,177.724686
2007-10-23,203.410995,208.470993,196.531998,200.389008,758730,180.783066
2007-10-24,202.427994,203.901993,195.082993,198.324997,348776,178.920975
2007-10-25,201.199997,216.184998,195.057999,206.408005,334995,186.213135
2007-10-26,208.815002,208.815002,197.514999,206.186996,252724,186.013748
2007-10-29,208.324005,208.815002,195.794998,202.772003,255722,182.932892
2007-10-30,205.867004,219.600006,205.376007,213.164001,828433,192.308136
2007-10-31,215.177994,232.889999,211.272003,224.955002,1197193,202.945496
2007-11-01,230.139008,240.703003,226.035995,231.587997,390625,208.929535
2007-11-02,221.589996,232.889999,221.589996,230.164001,85244,207.644867
2007-11-05,235.740005,239.768997,226.011993,233.725998,150913,210.858337
2007-11-06,235.347,247.876007,215.203003,240.531006,721283,216.997559
2007-11-07,246.647995,246.647995,226.011993,230.408997,74941,207.865875
2007-11-08,222.350998,230.925003,222.350998,226.921005,102027,204.719162
2007-11-12,228.468002,240.751999,213.729004,235.395996,159518,212.36496
