"Date","HINDPETRO.NS.Open","HINDPETRO.NS.High","HINDPETRO.NS.Low","HINDPETRO.NS.Close","HINDPETRO.NS.Volume","HINDPETRO.NS.Adjusted"
2013-11-21,89.423,89.612,84.362,44.900002,4184757,23.755264
2013-11-22,84.446,86.462,83.417,44.977798,5720445,23.796427
2013-11-25,87.407,91.061,87.407,47.544399,8953965,25.154341
2013-11-26,89.864,89.906,85.181,45.333302,6055268,23.98451
2013-11-27,85.685,86.945,85.328,45.544399,3283209,24.096195
2013-11-28,86.504,87.743,86.126,46.133301,3649396,24.407766
2013-11-29,87.092,90.998,87.092,47.766701,6529918,25.27195
2013-12-02,90.914,91.565,90.389,48.2556,4291929,25.530613
2013-12-03,90.767,91.523,89.402,47.599998,2773728,25.183758
2013-12-04,89.885,90.053,87.617,46.8778,2904228,24.801661
2013-12-05,89.885,94.421,89.885,49.644402,10168582,26.265385
2013-12-06,93.938,94.736,91.901,49.633301,3579840,26.25951
2013-12-09,96.059,99.042,94.715,52.111099,9188919,27.570444
2013-12-10,98.853,99.231,95.366,51.166698,2656818,27.070791
2013-12-11,95.766,96.374,94.085,50.344398,1592307,26.635733
2013-12-12,94.19,95.766,93.371,49.633301,1893308,26.25951
2013-12-13,93.875,93.875,91.355,48.511101,3239487,25.665792
2013-12-16,91.565,92.405,89.15,47.477798,2113250,25.119102
2013-12-17,89.066,91.061,88.898,47.177799,1711440,24.960381
2013-12-18,89.486,94.421,89.255,49.444401,4469954,26.159575
2013-12-19,94.505,94.757,90.494,48.922199,4007529,25.883291
2013-12-20,92.405,97.446,91.628,51.166698,4516083,27.070791
2013-12-23,96.711,98.916,95.849,51.355598,3925188,27.170731
2013-12-24,97.025,100.197,97.004,52.722198,4835025,27.893759
2013-12-26,99.651,102.99,99.021,52.655602,7984512,27.858524
2013-12-27,99.735,102.066,99.735,53.3111,5747954,28.205332
2013-12-30,100.848,100.995,98.874,52.477798,4408060,27.764454
2013-12-31,99.525,101.016,98.769,52.733299,4591098,27.89963
2014-01-01,99.945,101.919,99.336,53.233299,2909592,28.164165
2014-01-02,101.94,102.024,97.193,51.644402,5962972,27.32353
2014-01-03,97.193,98.286,94.715,50.455601,3571124,26.694569
2014-01-06,96.9,97.635,94.232,50.1222,4759160,26.518175
2014-01-07,94.232,95.219,92.51,49.2556,4885034,26.059685
2014-01-08,92.615,93.938,90.725,48.2556,3313364,25.530613
2014-01-09,90.809,93.413,90.095,48.944401,5005998,25.895041
2014-01-10,92.804,94.211,91.649,49.044399,2876972,25.947943
2014-01-13,92.888,93.854,91.439,48.988899,2935620,25.918581
2014-01-14,92.237,93.56,91.565,48.5667,1256589,25.69521
2014-01-15,91.565,94.043,91.565,49.366699,2926814,26.118464
2014-01-16,93.413,95.639,92.825,50.233299,2941610,26.576956
2014-01-17,95.345,99.945,95.345,52.6222,7501594,27.840851
2014-01-20,98.916,99.063,96.711,51.9333,3105580,27.476377
2014-01-21,98.286,99.042,95.45,51.9333,4317507,27.476377
2014-01-22,98.076,100.512,97.025,52.855598,2146617,27.964334
2014-01-23,99.777,100.281,98.286,52.333302,3217014,27.688
2014-01-24,98.307,100.512,97.046,51.611099,2993904,27.305908
2014-01-27,96.626,97.004,95.03,50.677799,2290023,26.812126
2014-01-28,95.576,97.32,94.757,50.444401,3620439,26.688646
2014-01-29,95.766,103.179,95.114,53.411098,9863194,28.258232
2014-01-30,100.386,100.764,97.32,51.7444,5619609,27.376432
2014-01-31,98.055,103.158,97.866,54.277802,5724446,28.716778
2014-02-03,102.591,103.116,99.462,54.3111,5846558,28.734398
2014-02-04,101.247,102.129,100.071,53.366699,3794854,28.234749
2014-02-05,101.205,101.604,99.168,53.322201,4295156,28.211199
2014-02-06,100.806,102.864,100.386,53.9333,3744882,28.534517
2014-02-07,102.528,102.885,100.89,53.6222,1992622,28.369925
2014-02-10,101.625,102.36,100.617,53.844398,1331379,28.487484
2014-02-11,102.15,105.51,100.995,55.488899,4770446,29.357536
2014-02-12,104.88,104.88,101.373,54.6222,4155813,28.898991
2014-02-13,103.368,103.494,98.307,52.200001,2567790,27.617479
2014-02-14,99.105,99.861,97.53,52.522202,1857334,27.787949
2014-02-17,99.735,100.995,97.446,52.922199,1293552,27.999573
2014-02-18,99.882,101.331,99.567,53.355598,2583392,28.228868
2014-02-19,100.743,101.163,99.042,53.288898,1607301,28.193581
2014-02-20,100.197,102.255,99.252,53.822201,2408481,28.475731
2014-02-21,101.73,106.896,100.764,56.322201,5662562,29.798412
2014-02-24,106.686,108.303,104.88,56.0667,3876615,29.663233
2014-02-25,106.266,108.765,105.909,56.9333,3689460,30.121733
2014-02-26,105.846,111.474,105.846,58.3778,7916702,30.885971
2014-02-28,111.516,111.684,108.387,58.833302,5659938,31.126959
2014-03-03,110.991,113.89,109.458,60.011101,7847806,31.750099
2014-03-04,112.944,115.087,111.39,60.344398,3655260,31.926443
2014-03-05,114.667,116.536,113.259,61.077801,4668012,32.314461
2014-03-06,116.137,120.064,115.507,62.988899,6736640,33.325569
2014-03-07,120.001,122.647,119.371,64.544403,6557008,34.148537
2014-03-10,120.967,122.458,119.077,64.199997,10666530,33.966324
2014-03-11,120.568,123.025,118.678,63.722198,8540280,33.713535
2014-03-12,119.749,119.896,116.914,62.422199,5227317,33.025745
2014-03-13,117.607,130.585,117.166,64.6222,24786176,34.189697
2014-03-14,121.765,124.222,117.733,63.366699,10849522,33.525452
2014-03-18,120.232,125.587,120.232,65.599998,10963323,34.70702
2014-03-19,125.167,125.44,121.996,64.866699,9087610,34.319054
2014-03-20,120.148,121.996,118.3,63.777802,10986224,33.74295
2014-03-21,120.925,122.563,116.137,61.799999,9204318,32.696552
2014-03-24,116.767,120.211,115.969,62.944401,7305358,33.302025
2014-03-25,119.287,123.466,118.006,64.488899,9850406,34.119171
2014-03-26,122.647,125.23,122.101,64.988899,6988185,34.383705
2014-03-27,123.487,129.535,122.878,65.988899,14051534,34.912781
2014-03-28,124.747,130.207,124.579,68.166702,6665760,36.064991
2014-03-31,128.863,132.623,128.107,68.844398,5105444,36.423538
2014-04-01,128.107,130.501,126.343,67.444397,8197232,35.682838
2014-04-02,128.317,130.375,127.792,68.344398,4949613,36.159
2014-04-03,129.199,129.808,125.188,66.788902,7542648,35.336037
2014-04-04,124.6,136.466,123.592,69.855598,11557444,36.958534
2014-04-07,132.098,134.408,128.548,68.300003,5030226,36.135517
2014-04-09,129.367,132.413,129.367,69.733299,4216018,36.893826
2014-04-10,131.93,134.408,129.052,70.777802,9607464,37.446445
2014-04-11,133.147,136.235,130.081,69.066704,6397150,36.541149
2014-04-15,130.417,133.358,128.737,69.822197,5584306,36.940865
2014-04-16,131.341,131.341,126.133,67.300003,4964612,35.606445
2014-04-17,127.687,132.266,125.293,69.322197,6889572,36.676327
2014-04-21,131.047,134.954,129.64,70.866699,5899248,37.493477
2014-04-22,134.408,139.91,133.253,72.833298,9920241,38.533947
2014-04-23,138.23,140.708,136.151,72.555603,9049482,38.387024
2014-04-24,137.138,137.138,137.138,72.555603,0,38.387024
2014-04-25,136.97,137.663,131.803,70.022202,8925844,37.04668
2014-04-28,131.761,134.912,130.333,70.699997,4707410,37.405281
2014-04-29,132.559,134.954,132.538,70.766701,4134492,37.440571
2014-04-30,134.828,137.348,131.09,71.522202,9078538,37.840286
2014-05-02,136.046,139.028,135.5,73.211098,3860748,38.733829
2014-05-05,139.448,142.598,138.398,74.455597,4661438,39.392258
2014-05-06,141.128,144.887,141.128,75.888901,5980671,40.150578
2014-05-07,144.257,147.953,142.619,77.266701,7237809,40.879524
2014-05-08,146.882,147.47,143.69,77.611099,4258480,41.061745
2014-05-09,146.693,153.267,144.383,80.644402,6587366,42.666573
2014-05-12,152.469,160.869,152.469,83.655602,11865704,44.259708
2014-05-13,161.415,163.809,156.921,84.022202,13608328,44.453663
2014-05-14,158.811,160.386,155.409,83.655602,5909238,44.259708
2014-05-15,157.257,160.029,155.514,83.444397,4676072,44.147964
2014-05-16,164.649,173.029,161.94,89.900002,13958024,47.563435
2014-05-19,172.168,184.726,171.811,96.511101,16097301,51.061169
2014-05-20,183.97,188.171,178.594,95.8778,10448721,50.72612
2014-05-21,182.71,182.71,175.423,94.322197,8006468,49.903088
2014-05-22,179.35,183.319,179.35,95.922203,2806502,50.749607
2014-05-23,183.97,187.541,180.505,96.599998,5331672,51.108204
2014-05-26,184.811,192.623,178.258,96.988899,6190659,51.313969
2014-05-27,185.84,185.84,175.318,94.511101,5076770,50.003033
2014-05-28,177.376,178.069,170.026,90.733299,6720354,48.004311
2014-05-29,178.342,178.489,171.622,91.355598,9982786,48.333549
2014-05-30,174.604,175.57,167.337,89.033302,7030062,47.104893
2014-06-02,170.11,179.224,169.417,94.099998,9260649,49.785526
2014-06-03,177.922,181.933,176.326,94.2556,7868547,49.867863
2014-06-04,179.35,180.757,175.633,94.266701,5297404,49.87373
2014-06-05,179.77,189.85,178.405,99.233299,17911346,52.501408
2014-06-06,189.389,194.43,186.659,101.289001,15013472,53.58902
2014-06-09,193.211,194.052,185.104,98.644402,9410976,52.189838
