"Date","TATAMTRDVR.NS.Open","TATAMTRDVR.NS.High","TATAMTRDVR.NS.Low","TATAMTRDVR.NS.Close","TATAMTRDVR.NS.Volume","TATAMTRDVR.NS.Adjusted"
2010-03-15,133.085,134.821,130.481,92.400002,832330,63.87505
2010-03-16,136.788,136.788,134.821,94.080002,157310,65.036415
2010-03-17,135.978,138.003,134.56,93.440002,346880,64.593994
2010-03-18,135.877,135.877,133.649,92.800003,454345,64.151566
2010-03-19,134.531,135.775,132.868,92.379997,82360,63.861225
2010-03-22,133.085,135.11,127.877,88.800003,124965,61.386414
2010-03-23,130.192,130.611,123.827,86.010002,824825,59.457718
2010-03-25,124.42,124.42,117.245,84.449997,281835,58.379303
2010-03-26,121.541,127.241,121.223,87.370003,167205,60.397873
2010-03-29,124.984,127.299,123.118,86.370003,135360,59.706581
2010-03-30,125.071,130.105,125.071,88.25,128095,61.006203
2010-03-31,128.456,132.998,128.456,91.169998,74640,63.024765
2010-04-01,130.495,134.531,129.758,90.010002,4941070,62.222866
2010-04-05,133.099,134.965,131.638,92.739998,109630,64.110085
2010-04-06,134.85,135.978,132.217,92.269997,631780,63.785175
2010-04-07,135.689,137.396,133.157,94.099998,46275,65.05024
2010-04-08,138.292,138.292,133.085,93.330002,156780,64.517952
2010-04-09,136.123,139.638,135.139,95.599998,1340395,66.087173
2010-04-12,137.425,142.922,136.282,94.949997,2321970,65.637833
2010-04-13,136.557,144.339,134.618,97.290001,19285185,67.255447
2010-04-15,143.587,159.051,143.587,106.849998,7195570,73.864166
2010-04-16,155.825,164.866,154.783,109.330002,18724500,75.57856
2010-04-19,156.23,159.109,151.095,108.449997,1628195,74.970222
2010-04-20,158.776,159.036,156.635,108.690002,1102465,75.136139
2010-04-21,158.111,159.412,155.68,109.510002,1425705,75.703003
2010-04-22,157.677,170.667,157.677,114.660004,12341990,79.263123
2010-04-23,166.356,169.249,164.953,115.019997,3925480,79.511993
2010-04-26,167.455,169.828,165.517,114.790001,1170860,79.352989
2010-04-27,168.092,173.589,168.092,119.260002,4863950,82.443047
2010-04-28,167.803,175.614,167.803,118.269997,1894605,81.758682
2010-04-29,168.092,173.589,168.092,118.650002,1231780,82.02137
2010-04-30,171.853,175.875,171.853,120.139999,1836420,83.051384
2010-05-03,173.01,175.238,168.497,117.589996,469435,81.288605
2010-05-04,172.142,172.837,165.199,114.730003,616425,79.311523
2010-05-05,164.909,164.909,158.545,112.730003,1021405,77.92894
2010-05-06,165.488,167.513,157.98,111.800003,1029185,77.286049
2010-05-07,160.57,160.57,151.963,107.959999,1219450,74.6315
2010-05-10,157.966,166.067,157.966,114.050003,709530,78.841446
2010-05-11,165.777,167.079,156.259,109.349998,1010635,75.592384
2010-05-12,159.123,163.029,156.924,112.150002,394555,77.527992
2010-05-13,163.463,165.488,162.884,113.059998,707865,78.157066
2010-05-14,164.591,165.199,159.557,111.150002,329655,76.836708
2010-05-17,159.123,159.123,153.192,108.209999,978560,74.804321
2010-05-18,155.102,157.677,153.641,107.029999,424250,73.988594
