"Date","RBLBANK.NS.Open","RBLBANK.NS.High","RBLBANK.NS.Low","RBLBANK.NS.Close","RBLBANK.NS.Volume","RBLBANK.NS.Adjusted"
2017-01-06,356,359.350006,353.299988,356.5,897733,355.285339
2017-01-09,357.100006,360,354,354.700012,543620,353.491486
2017-01-10,356,364.399994,356,362.5,846975,361.264893
2017-01-11,366,373,364.100006,369.399994,1435347,368.141388
2017-01-12,371.149994,373.899994,365.200012,367.75,849548,366.497009
2017-01-13,369,370,362.549988,366.350006,547211,365.101776
2017-01-16,365.5,379.25,365.5,376.450012,1038229,375.167389
2017-01-17,380,384.899994,380,382.700012,1192368,381.396088
2017-01-18,383,386,380.100006,381.450012,625932,380.15033
2017-01-19,382.299988,382.850006,376,377.899994,777651,376.612427
2017-01-20,380,384.899994,366.25,368.649994,1789052,367.393951
2017-01-23,382.100006,393.5,382.100006,389.450012,4767690,388.123077
2017-01-24,390,394.799988,389.600006,391.75,1368613,390.415222
2017-01-25,392.600006,393,387.5,390.049988,1077143,388.721008
2017-01-27,391.950012,411.600006,390,398.100006,3393399,396.743622
2017-01-30,397,403.399994,389,390.850006,1239306,389.518311
2017-01-31,391.649994,391.799988,380.100006,382.149994,958416,380.847931
2017-02-01,382.950012,402.649994,382.200012,400.950012,2418293,399.583893
2017-02-02,401.75,401.75,392.549988,394.450012,1241240,393.106049
2017-02-03,396.399994,399.75,388.350006,390.149994,1194842,388.820679
2017-02-06,394.049988,398,390.399994,392.200012,1076399,390.863708
2017-02-07,394,396,391,392.850006,691093,391.511505
2017-02-08,393.799988,396.950012,388.700012,393.399994,1104622,392.059601
2017-02-09,393.899994,397.799988,391,394.399994,904789,393.056213
2017-02-10,394.649994,395.700012,388.299988,389.5,490528,388.172913
2017-02-13,390.899994,395,387.200012,392.850006,723145,391.511505
2017-02-14,392.899994,407.950012,391.100006,403.75,2481915,402.374359
2017-02-15,403.100006,405.5,394,395.549988,1394501,394.202271
2017-02-16,397.049988,416.399994,392.799988,413.100006,3128098,411.692505
2017-02-17,417.700012,421.399994,413.600006,418.450012,1911043,417.024292
2017-02-20,419,426.799988,413.649994,425.25,1362897,423.801086
2017-02-21,425.799988,431.450012,424,426.549988,1222992,425.096649
2017-02-22,426,433.649994,422.5,427.200012,1174305,425.744476
2017-02-23,428.399994,474.149994,427.25,456.899994,6184856,455.343262
2017-02-27,458,488,457,467.799988,6100634,466.206116
2017-02-28,470.899994,484,470,476.700012,3355945,475.075806
2017-03-01,479.899994,481.850006,475.600006,479.149994,2085512,477.517456
2017-03-02,480.100006,482,455.549988,462.5,2999845,460.924194
2017-03-03,461.899994,467.25,452,455.549988,1651705,453.997833
2017-03-06,457.899994,475.5,457.299988,472.25,1621782,470.640961
2017-03-07,473,478.950012,468.100006,474.299988,1630959,472.68396
2017-03-08,474.100006,482.899994,474.100006,479.100006,1755717,477.467621
2017-03-09,478,482,470.799988,471.799988,1922479,470.192474
2017-03-10,473.149994,477.799988,466.649994,470.049988,613129,468.448456
2017-03-14,481.200012,484.350006,475,476.75,973750,475.125641
