"Date","SOUTHBANK.NS.Open","SOUTHBANK.NS.High","SOUTHBANK.NS.Low","SOUTHBANK.NS.Close","SOUTHBANK.NS.Volume","SOUTHBANK.NS.Adjusted"
2014-11-07,27.622,27.864,26.701,25.1196,2193491,23.461515
2014-11-10,26.943,27.089,26.265,24.802799,1708681,23.165625
2014-11-11,26.798,27.816,26.507,25.6175,2666364,23.926548
2014-11-12,27.331,27.67,27.137,25.391199,1857721,23.715185
2014-11-13,27.525,27.525,26.749,25.391199,2379139,23.715185
2014-11-14,27.04,27.283,26.071,24.802799,3087334,23.165625
2014-11-17,26.41,26.749,25.926,24.667,3272509,23.03879
2014-11-18,26.362,26.992,26.071,24.486,3164465,22.869738
2014-11-19,26.216,26.556,25.49,23.942801,4035556,22.362392
2014-11-20,25.635,26.168,25.393,23.8976,2216962,22.320175
2014-11-21,26.459,27.67,26.071,25.2554,10940025,23.58835
2014-11-24,27.379,27.622,26.798,25.2101,3814196,23.54604
2014-11-25,27.089,27.089,25.926,24.350201,3717565,22.742901
2014-11-26,26.071,27.379,25.683,24.848,3105797,23.20784
2014-11-27,26.653,26.943,26.362,24.7575,2083759,23.123314
2014-11-28,26.653,27.186,26.653,24.983801,5559771,23.334679
2014-12-01,26.798,27.089,26.265,24.6217,1966172,22.996479
2014-12-02,26.362,26.943,26.023,24.848,3763908,23.20784
2014-12-03,26.507,28.397,26.507,26.432199,14482820,24.687473
2014-12-04,28.543,28.882,28.203,26.703699,6670291,24.941051
2014-12-05,28.591,29.027,28.252,26.93,4594209,25.152412
2014-12-08,28.882,29.318,28.203,26.432199,4543469,24.687473
2014-12-09,28.3,28.446,27.525,25.9795,2748686,24.264654
2014-12-10,27.719,28.106,27.283,25.6175,2571926,23.926548
2014-12-11,27.525,27.622,26.846,25.3006,2281033,23.630568
2014-12-12,27.186,27.476,26.653,24.983801,1867102,23.334679
2014-12-15,26.556,26.846,26.071,24.440701,1969360,22.827427
2014-12-16,25.974,26.362,24.908,23.3997,4998923,21.855141
2014-12-17,25.005,25.926,24.23,23.173401,4173688,21.64378
2014-12-18,25.49,26.119,25.296,24.304899,2236536,22.700588
2014-12-19,26.265,26.604,26.023,24.395399,2191057,22.785116
2014-12-22,25.877,26.41,25.877,24.214399,2733403,22.616062
2014-12-23,26.023,27.379,25.926,25.391199,5498178,23.715185
2014-12-24,27.234,27.525,26.992,25.3459,7812775,23.672876
2014-12-26,26.943,27.622,26.846,25.391199,8581455,23.715185
2014-12-29,27.137,27.525,27.04,25.3459,4749584,23.672876
2014-12-30,27.234,27.525,26.943,25.481701,4529360,23.799713
2014-12-31,27.331,27.767,27.234,25.662701,2067764,23.968765
2015-01-01,27.428,28.3,27.331,26.251101,3269070,24.518326
2015-01-02,28.106,30.432,28.106,27.971001,23632420,26.124701
