"Date","KTKBANK.NS.Open","KTKBANK.NS.High","KTKBANK.NS.Low","KTKBANK.NS.Close","KTKBANK.NS.Volume","KTKBANK.NS.Adjusted"
2008-01-01,167.791,180.130005,166.285995,175.878998,497258,111.373169
2008-01-02,180.582001,189.949005,177.572006,187.128006,1299229,118.496483
2008-01-03,188.858002,197.511002,180.807007,192.432007,1132423,121.855171
2008-01-04,192.621002,195.593002,188.106003,189.498001,483331,119.997223
2008-01-07,190.852005,197.850006,186.600998,192.733002,353306,122.045761
2008-01-08,195.630005,204.960007,184.531998,200.483002,927558,126.953346
2008-01-09,200.822006,200.822006,191.229004,196.156998,660549,124.213959
2008-01-10,196.908997,200.634003,187.354004,189.686005,543923,120.11628
2008-01-11,190.738998,193.673996,186.225006,191.304001,246733,121.140877
2008-01-14,188.858002,209.173996,188.106003,201.725006,1004179,127.739815
2008-01-15,203.906998,204.509003,195.630005,196.759003,257831,124.595169
2008-01-16,191.867996,200.145004,189.610992,198.526993,245924,125.714729
2008-01-17,200.145004,205.412003,195.742996,199.128998,527708,126.095955
2008-01-18,198.639999,199.391998,191.492004,192.658005,243542,121.998291
2008-01-21,187.354004,191.867996,169.294998,187.278,509153,118.591461
2008-01-22,183.667007,183.667007,135.436005,167.565002,226037,106.108437
2008-01-23,177.572006,191.867996,165.533005,177.421997,325778,112.350258
2008-01-24,186.451004,186.451004,176.820007,182.951996,252217,115.852058
2008-01-25,183.591003,197.737,181.598007,194.501999,371127,123.165955
2008-01-28,191.867996,203.154007,180.582001,200.520996,426143,126.977409
2008-01-29,203.154007,205.335999,190.363007,194.162994,210456,122.951279
2008-01-30,194.878006,200.294998,189.987,195.968994,234715,124.094894
2008-01-31,189.837006,197.886993,179.716003,194.539001,491551,123.189392
2008-02-01,199.317001,199.317001,191.115997,193.598999,504351,122.594139
2008-02-04,194.878006,210.302002,180.619003,201.800003,940528,127.787323
2008-02-05,203.078995,214.440994,197.623993,207.856995,495358,131.622818
2008-02-06,197.210007,204.509003,195.630005,199.468002,281029,126.310616
2008-02-07,203.154007,203.154007,194.125,195.630005,719069,123.880249
2008-02-08,196.382996,199.391998,189.235001,190.815002,379553,120.831192
2008-02-11,185.923996,191.115997,182.237,187.617004,202347,118.806114
2008-02-12,186.600998,189.610992,183.026993,185.322006,88675,117.352859
2008-02-13,188.783005,191.492004,184.606995,189.987,364172,120.306885
2008-02-14,194.050003,194.125,190.363007,191.679993,57833,121.378944
2008-02-15,193.975006,196.382996,189.009003,194.087997,399676,122.903801
2008-02-18,190.438004,199.391998,190.363007,196.494995,116182,124.427994
2008-02-19,199.391998,202.401993,193.673996,195.028,256427,123.499039
2008-02-20,191.942993,193.748993,190.363007,191.453995,79736,121.23584
2008-02-21,195.479996,195.554993,191.304001,192.996994,85423,122.212936
2008-02-22,188.255997,192.544998,188.143997,189.347,244776,119.901596
2008-02-25,191.115997,199.391998,188.218994,196.119003,1863050,124.189903
2008-02-26,200.145004,204.207993,198.639999,199.880997,476255,126.572128
2008-02-27,203.154007,206.804001,194.878006,195.781006,149409,123.975853
2008-02-28,193.447998,198.565002,193.447998,195.781006,300545,123.975853
2008-02-29,194.050003,199.391998,192.018997,198,89233,125.381035
2008-03-03,192.244003,196.382996,189.610992,191.867996,130399,121.498001
2008-03-04,193.899994,193.899994,180.807007,183.779999,231493,116.376389
2008-03-05,183.591003,187.354004,178.513,181.973999,115835,115.232758
2008-03-07,181.973999,181.973999,176.820007,179.039001,336034,113.374199
2008-03-10,174.035995,176.141998,165.570999,173.320999,201828,109.753365
2008-03-11,170.048004,179.453003,170.048004,177.647003,140938,112.49276
2008-03-12,183.891998,187.354004,175.389999,180.468994,462415,114.279724
2008-03-13,176.141998,177.873001,169.294998,172.380005,380061,109.157478
2008-03-14,169.294998,171.552994,165.908997,169.070007,119538,107.061462
2008-03-17,155.488007,165.533005,155.488007,158.423004,130408,100.319382
2008-03-18,155.865005,159.363007,147.248993,149.507004,297949,94.673431
2008-03-19,155.714005,155.751999,146.723007,148.828995,240119,94.244095
2008-03-24,148.979996,149.731995,140.779007,144.315002,125371,91.385658
2008-03-25,146.082993,154.998993,144.841995,149.582001,143157,94.720924
2008-03-26,151.990005,158.761002,146.345993,155.789001,356347,98.651436
2008-03-27,151.990005,158.009003,149.731995,152.591995,580091,96.626968
2008-03-28,154.171997,154.998993,151.462997,153.720001,101703,97.341278
2008-03-31,152.065002,152.139999,149.130005,150.673004,64715,95.411789
2008-04-01,150.522003,152.667007,146.910995,149.695007,49403,94.792503
2008-04-02,155.677002,155.677002,150.485001,151.576004,56705,95.98362
2008-04-03,151.764008,151.990005,148.227997,150.973999,32964,95.602394
