"Date","HBSTOCK.NS.Open","HBSTOCK.NS.High","HBSTOCK.NS.Low","HBSTOCK.NS.Close","HBSTOCK.NS.Volume","HBSTOCK.NS.Adjusted"
2008-10-24,12.15,12.2,11.05,11.05,2713,9.939447
2008-10-27,10.8,10.8,10.5,10.7,934,9.624623
2008-10-29,10.5,11.2,10.35,10.5,5048,9.444724
2008-10-31,10,11,10,10,3302,8.994975
2008-11-03,10,10.5,9.55,10.35,15528,9.309799
2008-11-04,10,10.9,10,10.9,2652,9.804523
2008-11-05,11.45,11.45,11.45,11.45,1189,10.299246
2008-11-06,11,12,11,11.6,1384,10.434172
2008-11-07,11,12.6,11,11.95,1827,10.748995
2008-11-10,11.05,12.65,11.05,12.3,1240,11.06382
2008-11-11,11.35,11.35,11.3,11.3,200,10.164322
2008-11-12,11.15,11.6,11,11.15,1027,10.029397
2008-11-14,10.4,10.4,10.25,10.25,2400,9.21985
2008-11-17,10,10.5,9.25,10.5,3323,9.444724
2008-11-18,9.45,11.5,9.45,9.5,1915,8.545226
2008-11-19,9,9.05,8.6,8.6,805,7.735679
2008-11-20,8.25,8.6,8.2,8.6,431,7.735679
2008-11-21,8.6,8.6,8.2,8.2,501,7.375879
2008-11-24,8,8.55,8,8.5,1223,7.645729
2008-11-25,8.6,8.6,8.1,8.1,2215,7.28593
2008-11-26,7.85,7.85,7.85,7.85,50,7.061055
2008-11-28,8.25,8.25,7.5,7.75,1122,6.971106
2008-12-01,7.7,8.15,7.7,8.15,960,7.330904
2008-12-02,8,8.3,8,8.3,467,7.465829
2008-12-03,8,8.75,8,8.7,777,7.825628
2008-12-04,8.9,9.15,8.9,9.15,201,8.230402
2008-12-05,9.65,9.65,9.65,9.65,415,8.680151
2008-12-08,9.25,10.15,9.25,10.15,835,9.129899
2008-12-10,10,10.7,9.65,9.7,1373,8.725125
2008-12-11,10.2,10.2,10.2,10.2,596,9.174874
2008-12-12,9.7,10.7,9.7,10.7,510,9.624623
2008-12-15,10.5,10.5,10.25,10.25,1640,9.21985
2008-12-16,10,10.75,10,10.4,889,9.354774
2008-12-17,10.3,10.95,10.3,10.95,452,9.849498
2008-12-18,11.5,11.5,11.5,11.5,1351,10.344221
2008-12-19,12.1,12.1,12.1,12.1,1403,10.883921
2008-12-22,12.25,12.75,12.25,12.75,680,11.468594
2008-12-23,13.3,13.3,12.75,13.2,1568,11.873367
2008-12-24,13.05,13.85,12.55,12.55,1041,11.288694
2008-12-26,12.55,12.95,12.15,12.25,1201,11.018845
2008-12-29,12,12,11.8,11.8,24,10.614071
2008-12-30,11.25,11.8,11.25,11.75,3600,10.569096
2008-12-31,11.35,11.85,11.3,11.5,500,10.344221
2009-01-02,11,12.5,11,12.3,2363,11.06382
2009-01-05,12,12.9,11.7,11.9,996,10.70402
2009-01-06,12,12,11.5,12,800,10.79397
2009-01-07,11.5,12,11.4,12,595,10.79397
2009-01-09,11.9,11.9,11.9,11.9,5,10.70402
2009-01-12,11.35,11.35,11.3,11.3,280,10.164322
2009-01-13,10.75,11,10.75,11,25,9.894472
2009-01-14,11,11,10.65,10.65,240,9.579648
2009-01-15,10.15,10.15,10.15,10.15,100,9.129899
2009-01-16,9.65,9.65,9.65,9.65,800,8.680151
2009-01-19,9.2,9.25,9.2,9.2,5300,8.275377
2009-01-20,8.8,9.5,8.8,9.2,664,8.275377
2009-01-21,9,9.3,8.75,8.8,1660,7.915578
2009-01-22,9.2,9.2,8.4,8.4,572,7.555779
2009-01-23,8,8.85,8,8.4,493,7.555779
2009-01-27,8.2,8.85,8.2,8.3,985,7.465829
2009-01-28,8,8.3,7.9,8.3,764,7.465829
2009-01-29,7.95,8.55,7.95,8.05,1444,7.240955
2009-01-30,7.8,8.45,7.8,8.45,1253,7.600754
2009-02-02,8.85,8.85,8.65,8.65,1490,7.780653
2009-02-03,8.25,8.75,8.25,8.7,275,7.825628
2009-02-04,8.8,8.8,8.35,8.5,570,7.645729
2009-02-05,8.7,8.7,8.1,8.4,472,7.555779
2009-02-06,8.05,8.85,8.05,8.15,949,7.330904
2009-02-09,8,8.6,8,8.6,648,7.735679
2009-02-10,8.5,9.05,8.5,9.05,1170,8.140452
2009-02-11,9,9.5,9,9.5,726,8.545226
2009-02-12,9.1,10,9.1,9.55,600,8.590201
2009-02-13,10,10,9.15,9.8,1893,8.815076
2009-02-16,9.85,9.85,9.85,9.85,500,8.860051
2009-02-17,9.55,10.2,9.4,9.4,2435,8.455276
2009-02-18,9,9.8,9,9.45,634,8.500251
2009-02-19,9.05,9.05,9,9,298,8.095478
2009-02-20,9,9.35,9,9.1,142,8.185428
2009-02-24,9,9,8.7,8.7,38,7.825628
2009-02-25,8.45,8.45,8.4,8.45,629,7.600754
2009-02-26,8.25,8.65,8.25,8.6,550,7.735679
2009-02-27,9,9,8.5,8.5,296,7.645729
2009-03-02,8.25,8.25,8.25,8.25,276,7.420855
2009-03-03,8,8.7,8,8.1,1963,7.28593
2009-03-04,8,8.5,7.75,7.75,519,6.971106
2009-03-05,7.75,8.15,7.75,7.85,1900,7.061055
2009-03-06,7.85,8.6,7.85,8.6,560,7.735679
2009-03-09,7.75,7.75,7.75,7.75,210,6.971106
2009-03-12,7.15,8.4,7.15,8.35,769,7.510805
2009-03-13,9,9,7.65,8.5,1226,7.645729
