"Date","ITC.NS.Open","ITC.NS.High","ITC.NS.Low","ITC.NS.Close","ITC.NS.Volume","ITC.NS.Adjusted"
2010-05-05,103.846,109.495,103.846,87.383301,6922596,70.122437
2010-05-06,101.769,109.038,101.769,86.349998,5814033,69.293259
2010-05-07,105.508,108.395,105.341,86.383301,8690826,69.319969
2010-05-10,105.882,109.225,105.882,87.266701,14890680,70.028885
2010-05-11,106.982,109.371,106.982,86.516701,9940143,69.427017
2010-05-12,104.885,110.451,104.885,88.349998,5336889,70.898193
2010-05-13,110.908,111.323,109.558,88.833298,6069930,71.286018
2010-05-14,109.246,113.4,109.246,89.383301,8906088,71.727386
2010-05-17,110.492,111.697,110.077,88.716698,7166223,71.192451
2010-05-18,110.098,111.946,108.561,89.550003,4777407,71.861168
2010-05-19,111.51,111.51,107.169,86.400002,8933691,69.333389
2010-05-20,107.315,110.222,106.754,87.466698,12634194,70.189362
2010-05-21,108,113.94,106.899,90.433296,36162564,72.569977
2010-05-24,114.231,114.438,110.305,89.349998,14963190,71.700653
2010-05-25,111.115,112.237,107.46,86.833298,21123138,69.681084
2010-05-26,108.851,112.133,108.457,89.699997,11092257,71.981522
2010-05-27,111.946,115.726,111.032,91.966698,29180253,73.800484
2010-05-28,115.477,117.969,114.605,94.400002,16856175,75.753128
2010-05-31,119.506,119.506,115.975,94.400002,11478402,75.753128
2010-06-01,118.551,118.779,116.931,94.333298,9575319,75.699615
2010-06-02,117.969,118.301,115.996,93.766701,8114391,75.244926
2010-06-03,117.554,119.153,117.346,95.166702,7469256,76.368393
2010-06-04,119.984,121.209,115.061,96.949997,9566439,77.799431
2010-06-07,118.385,120.088,118.385,95.900002,6596508,76.956841
2010-06-08,120.752,121.541,119.028,96.566704,9177735,77.491859
2010-06-09,113.818,113.818,109.343,92.533302,11892087,77.884583
2010-06-10,110.492,111.581,108.987,93.349998,10567989,78.571991
2010-06-11,114.452,114.452,111.145,93.849998,8462898,78.992851
