"Date","MARUTI.NS.Open","MARUTI.NS.High","MARUTI.NS.Low","MARUTI.NS.Close","MARUTI.NS.Volume","MARUTI.NS.Adjusted"
2012-08-07,1139.949951,1148.949951,1130,1146.949951,556437,1102.687866
2012-08-08,1140.599976,1151.25,1136,1140.099976,568514,1096.102173
2012-08-09,1142,1166,1137,1144.800049,895054,1100.621094
2012-08-10,1144,1175.849976,1140.650024,1165.800049,638608,1120.810669
2012-08-13,1179.300049,1195,1177.199951,1184.949951,838204,1139.221436
2012-08-14,1184,1191,1160,1184.900024,418219,1146.429688
2012-08-16,1191.800049,1198,1170,1172.599976,396861,1134.528931
2012-08-17,1190,1194.800049,1171.150024,1177.550049,1988327,1139.318115
2012-08-21,1190,1197,1176.099976,1187.900024,1186236,1149.332153
2012-08-22,1185,1206,1180.050049,1183.150024,700024,1144.736572
2012-08-23,1186.25,1192.050049,1177,1181,304311,1142.65625
2012-08-24,1181.199951,1193,1161,1190.300049,470889,1151.654297
2012-08-27,1194.949951,1198.5,1164.050049,1167.800049,355903,1129.884888
2012-08-28,1165.199951,1183.300049,1156,1164.449951,432474,1126.643555
2012-08-29,1167.25,1173,1154.25,1167.800049,630103,1129.884888
2012-08-30,1160.050049,1164,1133.099976,1143.599976,896906,1106.470581
2012-08-31,1138.400024,1148.5,1130,1143.300049,392594,1106.18042
2012-09-03,1130.199951,1170.050049,1130.199951,1162.5,445403,1124.756958
2012-09-04,1162.5,1179,1147.5,1174.650024,417884,1136.512451
2012-09-05,1170,1179,1162.050049,1174.5,421800,1136.36731
2012-09-06,1170,1196,1170,1183.449951,767955,1145.026733
2012-09-07,1196,1208,1191.300049,1205,1285056,1165.877075
2012-09-10,1212,1220.75,1197.599976,1206.099976,474322,1166.941406
2012-09-11,1198.5,1220.949951,1191.699951,1213.849976,498747,1174.439697
2012-09-12,1216,1225.25,1212.300049,1220.199951,482824,1180.583618
2012-09-13,1222.300049,1229.849976,1204,1210.599976,347562,1171.295166
2012-09-14,1226,1267.800049,1226,1261.099976,1197005,1220.155762
2012-09-17,1281,1324.5,1275.050049,1279.300049,1338378,1237.764893
2012-09-18,1289.900024,1292.599976,1268.150024,1275.949951,640871,1234.523438
2012-09-20,1251,1301.800049,1251,1282.900024,940325,1241.247803
2012-09-21,1294,1317.300049,1287.150024,1311.75,800094,1269.161133
2012-09-24,1315,1369.800049,1310.150024,1354.650024,994282,1310.668457
2012-09-25,1360.800049,1368.400024,1317.050049,1321.699951,693537,1278.787964
2012-09-26,1308.050049,1329.599976,1297.449951,1312.099976,909320,1269.499878
2012-09-27,1317.900024,1342,1317.449951,1331.050049,1272235,1287.834717
2012-09-28,1345,1370,1341,1350.599976,1241053,1306.749878
2012-10-01,1359,1382.800049,1347.599976,1358,865209,1313.909668
2012-10-03,1358,1374.300049,1354.449951,1363.449951,639206,1319.182617
2012-10-04,1371.25,1409.849976,1362.599976,1390.5,1104971,1345.35437
2012-10-05,1399.5,1409,1261.199951,1387.699951,987181,1342.645264
2012-10-08,1382,1409.900024,1375.150024,1385.449951,1099782,1340.468384
2012-10-09,1400,1405,1387.5,1392.599976,755966,1347.38623
2012-10-10,1385,1394.5,1376,1378.949951,450007,1334.179321
2012-10-11,1385,1391,1347.5,1369.199951,1280918,1324.745972
2012-10-12,1355.5,1387.5,1355.5,1372.050049,792185,1327.503418
2012-10-15,1374.300049,1384.300049,1334,1338.25,710035,1294.800781
2012-10-16,1342.5,1372.699951,1337.599976,1367.050049,860593,1322.665771
2012-10-17,1378.849976,1389,1362.949951,1368.150024,896249,1323.72998
2012-10-18,1373.25,1388.5,1371.099976,1378.75,559121,1333.98584
2012-10-19,1373.449951,1382,1362.699951,1369.25,243014,1324.794312
2012-10-22,1362,1377.900024,1353.550049,1369.849976,278367,1325.374756
2012-10-23,1365,1377.900024,1361,1366.900024,351522,1322.52063
2012-10-25,1369,1376.949951,1348,1368.849976,540856,1324.407471
2012-10-29,1370,1373,1353.599976,1362.199951,665083,1317.973145
2012-10-30,1351,1419,1338,1390.800049,1697578,1345.644653
2012-10-31,1385,1443.800049,1381.300049,1437.900024,2341085,1391.215454
2012-11-01,1439,1467,1438.099976,1459.75,1719118,1412.356079
2012-11-02,1466,1477.349976,1454.099976,1465.900024,1151250,1418.306274
2012-11-05,1462,1487.949951,1458.75,1478.25,741504,1430.255493
2012-11-06,1468.050049,1474.949951,1443.099976,1451.599976,915224,1404.470703
2012-11-07,1448.650024,1478.25,1448.050049,1467.150024,486738,1419.515869
2012-11-08,1451.199951,1473.150024,1451.099976,1459.75,459052,1412.356079
2012-11-09,1459.75,1475,1457.5,1463.400024,578089,1415.887695
2012-11-12,1474,1474,1443.900024,1454.099976,290527,1406.889404
2012-11-15,1446.300049,1477,1440.75,1466.050049,788772,1418.451538
2012-11-16,1461,1477,1434.199951,1438.099976,376344,1391.408936
2012-11-19,1445.900024,1506.699951,1445.900024,1494.25,1688460,1445.735962
2012-11-20,1505,1509.099976,1486.949951,1499.300049,1032949,1450.62207
2012-11-21,1500.25,1503.949951,1480.099976,1492.5,421427,1444.042725
2012-11-22,1500,1514.5,1489.25,1493.449951,427099,1444.961792
2012-11-23,1501,1503,1485,1493.300049,223808,1444.816895
2012-11-26,1501.099976,1501.25,1485,1491.849976,381166,1443.41394
2012-11-27,1498,1509.400024,1493.050049,1497.650024,531466,1449.025635
2012-11-29,1500,1504.449951,1474.150024,1489.099976,639078,1440.75293
2012-11-30,1492.25,1499,1470.199951,1473.849976,432369,1425.998291
2012-12-03,1480,1504.25,1479.449951,1489.900024,710972,1441.527222
2012-12-04,1502,1502,1475.650024,1480.550049,326134,1432.480835
2012-12-05,1487,1490,1472,1477.349976,368330,1429.384521
2012-12-06,1480.800049,1486.949951,1459.449951,1482.550049,340106,1434.415894
2012-12-07,1490,1539.900024,1490,1509.949951,1272135,1460.92627
2012-12-10,1505,1523.5,1490.25,1493.400024,314521,1444.913574
2012-12-11,1489.900024,1500,1466.599976,1477.900024,309880,1429.91687
2012-12-12,1485,1491.949951,1463.050049,1476,652425,1428.078369
2012-12-13,1482,1496,1470,1474.150024,536596,1426.288696
2012-12-14,1478.25,1488,1451,1477.25,464608,1429.287964
2012-12-17,1490,1510.800049,1480.550049,1499.650024,879034,1450.960571
2012-12-18,1500,1504.949951,1471.849976,1475.349976,579109,1427.449463
2012-12-19,1487.349976,1516.949951,1484.900024,1509.75,960012,1460.732666
2012-12-20,1513.699951,1530.150024,1510,1520.150024,626581,1470.795044
2012-12-21,1513,1521.900024,1500.099976,1504.900024,505267,1456.040039
2012-12-24,1497.25,1500.849976,1475.349976,1478.900024,338405,1430.884277
2012-12-26,1478.5,1493.900024,1478,1480.099976,260198,1432.045288
2012-12-27,1490,1501,1475.349976,1482,588291,1433.883667
2012-12-28,1490,1517,1484.099976,1500.400024,453955,1451.686279
2012-12-31,1502.5,1514,1486.75,1490.050049,187038,1441.672363
2013-01-01,1497,1524,1484.949951,1514.400024,446063,1465.231689
2013-01-02,1518.800049,1566,1518.800049,1557.400024,801361,1506.835693
2013-01-03,1567,1567,1540.300049,1543.300049,584243,1493.193359
2013-01-04,1542,1558.900024,1539.5,1545.449951,361754,1495.27356
2013-01-07,1553.5,1601.75,1553.5,1584.599976,951298,1533.152588
2013-01-08,1593.900024,1594,1571,1574.849976,640368,1523.719116
2013-01-09,1570,1595.400024,1561.599976,1569.599976,671715,1518.639526
2013-01-10,1576.099976,1589,1564.150024,1572.300049,911264,1521.251831
