"Date","BANKINDIA.NS.Open","BANKINDIA.NS.High","BANKINDIA.NS.Low","BANKINDIA.NS.Close","BANKINDIA.NS.Volume","BANKINDIA.NS.Adjusted"
2015-02-25,233.899994,234.5,228.25,229.050003,2393566,222.841003
2015-02-26,229,229.600006,221.199997,221.75,3702558,215.738892
2015-02-27,224.050003,237,223.5,235.600006,3617079,229.213455
2015-03-02,237.5,241,232.050003,235.899994,2559593,229.50531
2015-03-03,236.800003,241,232.899994,239.899994,2425630,233.396881
2015-03-04,248.800003,250,228,231.350006,5621462,225.078659
2015-03-05,232,233.800003,225.25,229.25,3549960,223.035583
2015-03-09,229.25,229.25,221.699997,222.5,2569657,216.468567
2015-03-10,223.949997,224.800003,217.449997,219.449997,2999667,213.501236
2015-03-11,220,221.699997,215,217.899994,3859916,211.993256
2015-03-12,219.699997,223,219.050003,220.050003,1887194,214.084976
2015-03-13,222.399994,223.649994,215.5,216,2584656,210.14476
2015-03-16,217.149994,218.75,214.100006,216.350006,2028833,210.485275
2015-03-17,218,219.699997,215.100006,218,2138881,212.090546
2015-03-18,219,222.350006,217.550003,220.550003,2025966,214.571426
2015-03-19,224.5,224.550003,215,215.850006,1687218,209.998825
2015-03-20,215.199997,217.949997,210.5,212.600006,3012534,206.836929
2015-03-23,213.5,214.550003,208.399994,209.100006,2210084,203.431808
2015-03-24,207,209.75,203.699997,204.600006,2917431,199.053787
2015-03-25,204.5,205.600006,202,202.800003,2074761,197.302582
2015-03-26,201.800003,203.899994,196.25,197.350006,2921264,192.00032
2015-03-27,198.100006,200.449997,191.5,198.550003,4105214,193.167786
2015-03-30,201,201,195,199.899994,2289290,194.481186
2015-03-31,200.899994,202,194.850006,195.850006,2826420,190.540985
2015-04-01,194.600006,209.800003,194.050003,205.75,3396490,200.172607
2015-04-06,205.75,209.350006,202.100006,206,2655791,200.415833
2015-04-07,206.949997,209,203.800003,207,2767286,201.388733
2015-04-08,207.899994,209.399994,205.199997,205.899994,1816989,200.318542
2015-04-09,207,214.350006,202.699997,212.699997,3897747,206.934204
2015-04-10,213.149994,219.699997,213,218.949997,3859810,213.014786
2015-04-13,217.25,222.75,217.25,221,2529275,215.009216
2015-04-15,221,233.199997,221,226.899994,3629802,220.749283
2015-04-16,227.399994,228.600006,221.399994,225.050003,3545192,218.949432
2015-04-17,225,231.800003,223,228.350006,3555729,222.159988
2015-04-20,228.600006,230.899994,217,220.75,2699905,214.765991
2015-04-21,220.050003,225.800003,219.100006,223.050003,2327994,217.003647
2015-04-22,224,225.600006,216.600006,221.899994,2404134,215.884811
2015-04-23,223.300003,224.600006,217.5,218.399994,1841161,212.479691
2015-04-24,219,219.25,209.100006,210.100006,2758331,204.404694
2015-04-27,210.699997,213.699997,204.399994,210.699997,2514996,204.988434
2015-04-28,210.100006,216.699997,209.649994,215.699997,1882036,209.85289
2015-04-29,216.600006,217.300003,212.100006,213.5,1563003,207.712524
2015-04-30,213.399994,218,210.75,216.600006,2755609,210.7285
2015-05-04,216.600006,224.899994,216.550003,223.899994,2006974,217.830597
2015-05-05,224,225.800003,221.350006,223.050003,1082762,217.003647
2015-05-06,222,223.949997,207.649994,208.350006,2041219,202.702133
2015-05-07,208.350006,209.5,198.449997,200.649994,2276117,195.210861
2015-05-08,203,205.050003,190.5,195.850006,3153154,190.540985
2015-05-11,199,210.75,193.399994,206.25,4893365,200.659058
2015-05-12,206.399994,206.800003,196.649994,197.899994,2901687,192.5354
2015-05-13,199.100006,207,199.100006,203.5,3698640,197.983597
2015-05-14,203.350006,212,200.350006,211,3220784,205.280304
2015-05-15,212.550003,214,206.550003,209,2714360,203.334518
2015-05-18,209.699997,210.300003,204.100006,206.899994,2099587,201.291428
2015-05-19,207.149994,210.300003,205.149994,206.75,2458162,201.145508
2015-05-20,207.399994,209.300003,204.899994,205.75,1551748,200.172607
2015-05-21,206.5,207.149994,203.550003,206.5,1463709,200.902283
2015-05-22,207.5,210,200.699997,202.149994,3000052,196.670197
2015-05-25,202.300003,204.5,200,203.25,1723584,197.740387
2015-05-26,203.699997,204,201,202.149994,2167200,196.670197
2015-05-27,200.699997,208,200,203.850006,2819517,198.324127
2015-05-28,204.800003,205,188,191.850006,15678244,186.649414
2015-05-29,189,198,189,197.199997,4663486,191.854385
2015-06-01,197.5,199,195.300003,196.5,1804483,191.173355
2015-06-02,197,197.199997,188.5,189.199997,4190633,184.071243
2015-06-03,189.25,191.800003,186,189.75,3491134,184.606339
