"Date","M&M.NS.Open","M&M.NS.High","M&M.NS.Low","M&M.NS.Close","M&M.NS.Volume","M&M.NS.Adjusted"
2008-02-11,160.25,162,145,149.738007,2398252,104.842041
2008-02-12,151.25,152.25,143,144.811996,1024720,101.392982
2008-02-13,145.25,148.625,143.761993,144.738007,2428288,101.341187
2008-02-14,146,151,146,149.412994,1829864,104.614471
2008-02-15,147.5,155.75,147.5,155.261993,1515368,108.709755
2008-02-18,154.649994,162.100006,154.649994,161.149994,1090992,112.832352
2008-02-19,160.5,166.375,160.5,164.636993,2796004,115.273849
2008-02-20,164.061996,167.725006,157.5,158.824997,1557608,111.204468
2008-02-21,158.75,162.75,156.25,159.600006,825916,111.747116
2008-02-22,160,160,153.537994,157.274994,1079764,110.119194
2008-02-25,158.25,158.675003,151.25,156.949997,1371704,109.891647
2008-02-26,138.886993,161.199997,138.886993,158.011993,1049620,110.635239
2008-02-27,157.412994,171.125,157.412994,165.100006,3735912,115.598038
2008-02-28,165,171.675003,165,170.274994,4271596,119.221397
2008-02-29,170.5,176.5,167.524994,172.938004,6601108,121.08596
2008-03-03,167.5,177.5,166.25,171.949997,6836980,120.394203
2008-03-04,173.25,175.949997,171.5,174.287994,3628276,122.031212
2008-03-05,175.5,176.25,172,173.925003,3155640,121.777031
2008-03-07,172,173,162.75,166.811996,1699500,116.796745
2008-03-10,166.25,175.149994,159.699997,167.600006,3691256,117.348488
2008-03-11,167.475006,172.5,163.25,168.962006,3411344,118.302086
2008-03-12,167.5,175,167.5,170.712006,1625900,119.527397
2008-03-13,169.925003,171,159.725006,165.261993,2750988,115.711449
2008-03-14,166.5,171.25,158.125,162.300003,3063704,113.637566
2008-03-17,157.587006,164.975006,153.011993,159.75,2383480,111.852142
2008-03-18,158.725006,160,155.050003,159.511993,2847800,111.685471
2008-03-19,160.636993,171.188004,159.274994,165.300003,3608168,115.738083
2008-03-24,173.561996,173.561996,160,166.949997,3875868,116.893349
2008-03-25,163,170.475006,163,169.975006,3120700,119.01136
2008-03-26,168.75,172.5,167.587006,169.886993,1375824,118.949753
2008-03-27,163.75,174.5,163.75,170.787994,2705032,119.580597
2008-03-28,170.024994,174.988007,164.625,173.125,1460976,121.216881
2008-03-31,163.75,181,163.75,174.261993,3474888,122.012985
