"Date","CAPPIPES.BO.Open","CAPPIPES.BO.High","CAPPIPES.BO.Low","CAPPIPES.BO.Close","CAPPIPES.BO.Volume","CAPPIPES.BO.Adjusted"
2015-06-10,40,40,40,40,0,40
2015-06-11,40,40,40,40,0,40
2015-06-12,40,40,40,40,0,40
2015-06-15,40,40,40,40,0,40
2015-06-16,38,38,38,38,3000,38
2015-06-17,38,38,38,38,0,38
2015-06-18,38,38,38,38,0,38
2015-06-19,38,38,38,38,0,38
2015-06-22,40,40,39,39,6000,39
2015-06-23,40,40,40,40,9000,40
2015-06-24,39,39,39,39,3000,39
2015-06-25,39,39,39,39,0,39
2015-06-26,39,39,39,39,0,39
2015-06-29,39,39,39,39,0,39
2015-06-30,38,38,38,38,6000,38
2015-07-01,38,38,38,38,0,38
2015-07-02,38,38,38,38,0,38
2015-07-03,38,38,38,38,0,38
2015-07-06,38,38,38,38,0,38
2015-07-07,38,38,38,38,0,38
2015-07-08,38,38,38,38,0,38
2015-07-09,38,38,38,38,0,38
2015-07-10,38,38,38,38,0,38
2015-07-13,38,38,38,38,0,38
2015-07-14,38,38,38,38,0,38
2015-07-15,38,38,38,38,0,38
2015-07-16,38,38,38,38,0,38
2015-07-17,38,38,38,38,6000,38
2015-07-20,38,38,38,38,0,38
2015-07-21,38,38,38,38,0,38
2015-07-22,38,38,38,38,0,38
2015-07-23,38,38,38,38,0,38
2015-07-24,38,38,38,38,0,38
2015-07-27,38,38,38,38,0,38
2015-07-28,37,37,37,37,3000,37
2015-07-29,37,37,37,37,0,37
2015-07-30,37,37,37,37,0,37
2015-07-31,37,37,37,37,0,37
2015-08-03,37,37,37,37,0,37
2015-08-04,37,37,37,37,0,37
2015-08-05,37,37,37,37,0,37
2015-08-06,37,37,37,37,3000,37
2015-08-07,32,37,31,32,33000,32
2015-08-10,36,36,32.150002,34,36000,34
2015-08-11,34,34,34,34,0,34
2015-08-12,34,34,34,34,0,34
2015-08-13,34,34,34,34,0,34
2015-08-14,34,34,34,34,0,34
2015-08-17,34,34,34,34,0,34
2015-08-18,34.5,34.5,34.5,34.5,3000,34.5
2015-08-19,36.5,37.5,36.5,37.5,6000,37.5
2015-08-20,37.5,37.5,37.5,37.5,0,37.5
2015-08-21,37.5,37.5,37.5,37.5,0,37.5
2015-08-24,36,36,33.5,33.5,9000,33.5
2015-08-25,33.5,33.5,33.5,33.5,0,33.5
2015-08-26,33.5,33.5,33.5,33.5,0,33.5
2015-08-27,35,35,35,35,3000,35
2015-08-28,35,35,35,35,0,35
2015-08-31,35,35,35,35,0,35
2015-09-01,35,35,35,35,0,35
2015-09-02,35,35,35,35,0,35
2015-09-03,35,35,35,35,0,35
2015-09-04,37,37,37,37,3000,37
2015-09-07,37,37,37,37,0,37
2015-09-08,37,37,37,37,0,37
2015-09-09,37,37,37,37,0,37
2015-09-10,37,37,37,37,0,37
2015-09-11,37,37,37,37,0,37
2015-09-14,37,37,37,37,0,37
2015-09-15,37,37,37,37,0,37
2015-09-16,37,37,37,37,0,37
2015-09-18,37,37,37,37,0,37
2015-09-21,38,38,38,38,3000,38
2015-09-22,39,39,39,39,6000,39
2015-09-23,38,38,37,37,9000,37
2015-09-24,37,37,37,37,3000,37
2015-09-28,37,37,37,37,6000,37
2015-09-29,37,37,37,37,3000,37
2015-09-30,39,39,37,37,9000,37
2015-10-01,39,39,39,39,3000,39
2015-10-05,39,39,39,39,3000,39
2015-10-06,39,39,39,39,0,39
2015-10-07,39,39,39,39,0,39
2015-10-08,39,39,39,39,0,39
2015-10-09,39,39,39,39,0,39
2015-10-12,39,39,39,39,3000,39
2015-10-13,39,39,39,39,0,39
2015-10-14,39,39,39,39,0,39
2015-10-15,39,39,39,39,0,39
2015-10-16,39,39,39,39,0,39
2015-10-19,40,40,40,40,3000,40
