"Date","BOSCHLTD.NS.Open","BOSCHLTD.NS.High","BOSCHLTD.NS.Low","BOSCHLTD.NS.Close","BOSCHLTD.NS.Volume","BOSCHLTD.NS.Adjusted"
2007-09-07,4344.479,4381.566,4344.479,4100.100098,804,3869.372803
2007-09-10,4344.48,4439.846,4323.287,4132.25,3157,3899.713379
2007-09-11,4366.732,4438.787,4345.592,4106.5,854,3875.412354
2007-09-12,4346.705,4376.216,4344.48,4101.350098,1256,3870.552246
2007-09-13,4333.884,4369.805,4333.884,4105,650,3873.996582
2007-09-14,4355.076,4386.653,4343.42,4100.149902,1030,3869.419434
2007-09-17,4344.639,4375.21,4344.48,4101.399902,445,3870.598633
2007-09-18,4365.672,4397.461,4328.585,4139.899902,887,3906.932617
2007-09-19,4397.461,4450.443,4360.533,4125.149902,767,3893.012451
2007-09-20,4439.847,4439.847,4355.076,4161.75,1016,3927.552734
2007-09-21,4376.269,4470.576,4360.427,4202.200195,2530,3965.726563
2007-09-24,4450.442,4450.442,4387.077,4170,815,3935.339111
2007-09-25,4345.54,4439.741,4344.48,4135.299805,1653,3902.591064
2007-09-26,4381.567,4397.461,4344.48,4104.950195,749,3873.949463
2007-09-27,4345.54,4630.58,4345.54,4235.950195,3249,3997.577148
2007-09-28,4555.347,4556.406,4452.563,4250.149902,17737,4010.977783
2007-10-01,4455.741,4529.862,4455.741,4255.5,771,4016.0271
2007-10-03,4556.405,4556.405,4450.442,4262.799805,2378,4022.916748
2007-10-04,4556.406,4609.387,4451.503,4339.850098,25928,4095.630615
2007-10-05,4556.406,4588.142,4503.424,4254.600098,2754,4015.177979
2007-10-08,4641.176,4641.176,4492.828,4262.049805,1571,4022.208984
2007-10-09,4503.423,4535.212,4503.423,4250.25,623,4011.073486
2007-10-10,4503.424,4529.915,4492.828,4257.25,6011,4017.678711
2007-10-11,4503.424,4535.213,4503.424,4255.799805,1600,4016.310547
2007-10-12,4508.724,4535.215,4487.531,4271.5,5365,4031.125732
2007-10-15,4545.81,4545.81,4450.443,4274.149902,1335,4033.627197
2007-10-16,4556.406,4556.406,4503.425,4264.149902,5157,4024.190186
2007-10-17,4238.517,4598.791,4185.535,4305.299805,2487,4063.024902
2007-10-18,4614.685,4614.685,4514.02,4261.649902,2608,4021.831543
2007-10-19,4450.443,4556.406,4450.443,4235.049805,1705,3996.727783
2007-10-22,4400.64,4516.67,4400.64,4255.100098,7093,4015.649902
2007-10-23,4503.424,4609.387,4503.424,4261.299805,3291,4021.500732
2007-10-24,4555.346,4588.142,4476.933,4272.049805,13867,4031.645996
2007-10-25,4555.347,4567.003,4514.021,4260.350098,15451,4020.604004
2007-10-26,4514.02,4577.598,4455.74,4299.100098,6065,4057.174316
2007-10-29,4635.878,4768.331,4408.058,4321.850098,3272,4078.643799
2007-10-30,4579.558,4635.877,4450.442,4289.299805,3089,4047.925537
2007-10-31,4542.472,4662.369,4451.503,4269.399902,3675,4029.144775
2007-11-01,4715.35,5428.798,4503.424,4703.700195,27598,4439.005859
2007-11-02,5019.464,5509.012,4874.295,4799.350098,21122,4529.272949
2007-11-05,5229.27,5557.755,4948.468,4730.450195,11468,4464.250488
2007-11-06,5133.903,5298.146,4960.124,4724.25,8906,4458.399414
