"Date","INFY.NS.Open","INFY.NS.High","INFY.NS.Low","INFY.NS.Close","INFY.NS.Volume","INFY.NS.Adjusted"
2011-06-07,707.513,726,707.513,723.138,3989332,509.817841
2011-06-08,722.25,723.049988,716.812012,717.924988,2972984,506.142609
2011-06-09,720.375,720.375,713.638,715.375,2110808,504.34491
2011-06-10,717.125,720.200012,712.799988,715.588013,3593632,504.495056
2011-06-13,712.125,720.549988,704.924988,719.400024,3866592,507.182495
2011-06-14,719.450012,720.875,716.187988,718.075012,3935052,506.248413
2011-06-15,715.437988,715.437988,706.724976,708.900024,3667940,499.779877
2011-06-16,707.25,707.25,698.763,700.075012,3814480,493.558258
2011-06-17,700.025024,700.838013,682.825012,692.411987,4262584,488.155792
2011-06-20,692.075012,694.937988,663.125,677.388,6229076,477.56366
2011-06-21,680.75,688.75,673.325012,681.786987,3771408,480.664978
2011-06-22,688.25,695.424988,685.525024,688.763,2812500,485.583191
2011-06-23,687.5,697.275024,683.875,694.775024,2079384,489.821655
2011-06-24,697.75,719.424988,697.75,714.987,5609644,504.071259
2011-06-27,707.911987,730.75,705.062012,717.763,5362148,506.02832
2011-06-28,717.513,719.213013,710.950012,716.325012,2243396,505.014618
2011-06-29,717,726.75,717,720.437988,2400376,507.914276
2011-06-30,721.513,729.75,720.375,727.612,5670920,512.971985
2011-07-01,733.75,742.487,731.025024,733.536987,3201232,517.149109
2011-07-04,741.661987,744.25,733.75,734.737,2057296,517.995178
2011-07-05,739.25,742.474976,731.5,739.112,3211864,521.079529
2011-07-06,736.75,743.112,734.275024,738.424988,1720112,520.595276
2011-07-07,738.799988,750,735.75,748.924988,2875736,527.997742
2011-07-08,750,755.974976,741.812012,744.138,2834896,524.622925
2011-07-11,738.474976,744.025024,722.138,730.286987,4603260,514.85791
2011-07-12,712.5,712.5,686.700012,697.888,14826328,492.016327
2011-07-13,691.5,701.838013,690.263,694.325012,6669084,489.504456
2011-07-14,690.062012,691,682.75,685.088013,5445612,482.992218
2011-07-15,686,690.737,680,682.838013,3196312,481.405975
2011-07-18,683.75,685.812012,676.838013,678.349976,4704328,478.241974
2011-07-19,680.25,690.5,679.161987,687.625,4162212,484.780792
2011-07-20,693.200012,693.200012,686.25,688.112,3111356,485.124176
2011-07-21,686.299988,696.125,684.200012,692.025024,2948544,487.882965
2011-07-22,696.075012,711,692.5,707.062012,3874812,498.484039
2011-07-25,704.5,706.263,697.775024,701.937988,3702128,494.871674
2011-07-26,702.25,706,696.875,700.450012,3424368,493.82254
2011-07-27,700.25,708.974976,697.799988,699.161987,4253220,492.914551
2011-07-28,691.25,693.474976,683.625,687.775024,4740688,484.886566
2011-07-29,685.25,695.612,681.349976,693.974976,4878796,489.25766
2011-08-01,695.025024,705.950012,695.025024,703.775024,3047476,496.166718
2011-08-02,699.638,699.638,686.25,687.737,2466264,484.859741
2011-08-03,683.75,684.924988,677.125,683.150024,2823044,481.625885
2011-08-04,685,689.987,676,677.286987,3264944,477.492432
2011-08-05,660.900024,660.900024,631.25,647.799988,7879036,456.703888
2011-08-08,625,625,607.75,617.625,8085120,435.430328
2011-08-09,587.75,609.987,587.549988,593.638,8424872,418.519287
2011-08-10,612,619.099976,602.775024,611.775024,6977980,431.306
2011-08-11,608,617.25,603.737,610.150024,4103116,430.16037
2011-08-12,622,622,585.588013,593.799988,7049040,418.633484
2011-08-16,607.5,609.562012,593.075012,599.825012,5073352,422.881134
2011-08-17,599,616.375,599,612.237,4265664,431.631805
2011-08-18,616.25,617.025024,585.75,588.525024,5337332,414.914581
2011-08-19,568.5,568.5,542.900024,556.174988,14449600,392.107574
2011-08-22,553.474976,561.275024,543.75,548.650024,7854036,386.802399
2011-08-23,550.312012,575.661987,548.5,569.237,8571720,401.316437
2011-08-24,570,571.237,557.5,562.724976,4303072,396.725372
2011-08-25,562.549988,566.275024,540.375,545.849976,13426876,384.828369
2011-08-26,546.625,563.224976,545.661987,550.638,10510980,388.20401
2011-08-29,559.75,578.062012,558,574.062012,5611264,404.71814
2011-08-30,582.75,590,570,585.737,6071460,412.949036
2011-09-02,596.25,596.25,568.825012,579.799988,7480452,408.763428
2011-09-05,573.424988,573.424988,560.049988,566.275024,5451272,399.22818
2011-09-06,563.474976,580,555.562012,575.638,5408348,405.829193
2011-09-07,574.474976,578.575012,566.911987,572.862,6578716,403.87207
2011-09-08,575,588.5,574.75,584.612,5513936,412.155884
2011-09-09,582.025024,582.025024,565.25,568.575012,6196052,400.849731
2011-09-12,552,554.338013,545.161987,549.612,4099132,387.480652
2011-09-13,555.775024,564.924988,548.937988,555.513,5182608,391.640869
2011-09-14,562.75,591.724976,562.25,587.911987,8618440,414.482391
2011-09-15,594.5,607.125,582.5,602.474976,6851728,424.749481
2011-09-16,614.474976,614.474976,593.400024,598.786987,5652052,422.149353
2011-09-19,599.75,602.900024,589.025024,590.661987,3279216,416.421234
2011-09-20,594.25,610,593.786987,609.138,4504452,429.44693
2011-09-21,610,613.724976,605,608.911987,3701240,429.287537
2011-09-22,596,602.950012,584.161987,588.150024,4518928,414.650238
2011-09-23,582,597.450012,580.25,584.700012,5224216,412.217957
2011-09-26,586.25,591.25,575.275024,588.75,3272144,415.073181
2011-09-27,594.299988,617.161987,594.299988,611.036987,5170512,430.785675
2011-09-28,620,635,613.125,617.562012,10030880,435.385925
2011-09-29,620.5,642.487,617.812012,637.775024,11628172,449.636292
2011-09-30,632.974976,641,627.049988,633.263,5365328,446.455231
2011-10-03,622.5,629.5,616.924988,618.974976,4942564,436.382019
2011-10-04,613.049988,620.437988,603.400024,609.625,3919240,429.790131
2011-10-05,614.487,624.75,607.025024,611.737,5385928,431.279297
2011-10-07,640,643.724976,621.911987,627.174988,9228864,442.163208
2011-10-10,636.25,650.224976,632.099976,647.487,8473216,456.483276
2011-10-11,648.349976,648.75,622.5,626.138,11169624,441.432068
2011-10-12,648.75,672,648.75,669.838013,17316852,472.240967
2011-10-13,679.75,682.25,671.25,674.174988,9020768,475.298462
2011-10-14,677.775024,689.174988,671.575012,685.937988,9800496,483.591492
2011-10-17,690.275024,691.224976,680.049988,686.638,7072748,484.084991
2011-10-18,674.974976,681.25,671.924988,675.388,5259068,476.153687
2011-10-19,680.5,683.75,675.275024,681.937988,5067660,480.771393
2011-10-20,673,689.25,671.888,686.888,2786840,495.15274
2011-10-21,686.888,687.25,676.75,680.661987,3429156,490.664581
2011-10-24,687.5,693.700012,685.299988,691.825012,3037796,498.71167
2011-10-25,702.75,724.75,702.75,714.674988,7838792,515.183289
2011-10-28,715.474976,742.838013,707.849976,714.661987,13348840,515.174011
2011-10-31,714,724.437988,714,719.388,5145812,518.580811
2011-11-01,710,718.525024,704.5,709.150024,3953096,511.2005
2011-11-02,705,713.474976,704.349976,708.599976,2658928,510.804108
2011-11-03,708.5,710.5,691.799988,700.525024,5389812,504.983185
2011-11-04,711.25,712.724976,697.888,706.487,3821844,509.280853
2011-11-08,703.763,712,697.713013,710.525024,3053668,512.191772
2011-11-09,711.25,716.812012,706.25,708.825012,3339824,510.96637
2011-11-11,652.674988,701.924988,652.674988,693.924988,4720612,500.225433
2011-11-14,702.536987,708.099976,699.5,702.200012,2316520,506.190521
2011-11-15,700.025024,705,695.388,699.575012,2549012,504.298309
2011-11-16,698.75,701,689.575012,694.575012,3276324,500.694
2011-11-17,692.075012,697.25,683.224976,688.375,3183492,496.22464
2011-11-18,682.763,691.112,680,685.200012,2368948,493.935883
2011-11-21,680,683.713013,656.575012,667.525024,4682896,481.194702
2011-11-22,650,691.224976,650,681,7429756,490.908234
2011-11-23,668.75,672.388,654.338013,663.161987,6396408,478.049438
2011-11-24,660.25,671,646.650024,666.549988,6615888,480.491669
2011-11-25,663.75,663.75,647.75,649.924988,4011264,468.507385
2011-11-28,655.013,662.474976,653.112,659.036987,3645104,475.075867
2011-11-29,655.549988,657.013,645.312012,649.487,5329684,468.191711
2011-11-30,645.25,656.25,640.25,651.713013,5820116,469.796387
2011-12-01,668.5,672.713013,657.650024,663.838013,4062604,478.536713
2011-12-02,662.75,678.862,661.974976,673.536987,4725704,485.528442
2011-12-05,672.5,679.437988,668.799988,675.286987,3734092,486.789856
2011-12-07,675.286987,693.099976,671.013,689.737,4035196,497.206482
2011-12-08,686.75,689.5,674.025024,680.862,3647792,490.808716
2011-12-09,667.036987,684.950012,665.049988,677.575012,5285376,488.439331
2011-12-12,679.974976,689,674.450012,685.062012,5512900,493.836426
2011-12-13,682.825012,691.224976,677.174988,688.049988,4824168,495.990356
2011-12-14,687.5,691.812012,681.25,685.062012,4928816,493.836426
2011-12-15,681.575012,683.588013,666.25,679.088013,5026584,489.529938
2011-12-16,673.75,697.200012,672.987,681.125,6834644,490.998352
2011-12-19,672.5,675.888,663.950012,669.099976,6032216,482.330078
2011-12-20,672.5,674.536987,662.775024,667.187988,5242304,480.951691
2011-12-21,679.75,688.700012,670,685.75,4211460,494.332367
2011-12-22,662.5,687,662.5,680.213013,6353568,490.341034
2011-12-23,685,685,670.812012,673.687988,3522648,485.637299
2011-12-26,672.75,696.75,672.75,693.963013,2118284,500.252747
