"Date","TARAJEWELS.NS.Open","TARAJEWELS.NS.High","TARAJEWELS.NS.Low","TARAJEWELS.NS.Close","TARAJEWELS.NS.Volume","TARAJEWELS.NS.Adjusted"
2016-10-24,47.349998,48.25,45.549999,47.049999,204053,47.049999
2016-10-25,47.75,47.75,46.150002,46.650002,58064,46.650002
2016-10-26,46.700001,49.5,45.799999,48.650002,223493,48.650002
2016-10-27,48.599998,50.299999,47,48.349998,179230,48.349998
2016-10-28,47.5,49.299999,47.150002,47.599998,191791,47.599998
2016-11-01,47.599998,47.950001,46.200001,46.349998,75203,46.349998
2016-11-02,46,46.299999,44.450001,44.900002,76567,44.900002
2016-11-03,45.299999,46.200001,44.5,44.700001,54835,44.700001
2016-11-04,44.75,44.75,37.5,41.549999,123185,41.549999
2016-11-07,41.599998,44.400002,41.599998,42.900002,53776,42.900002
2016-11-08,44,44,42.049999,42.200001,30615,42.200001
2016-11-09,39,42.5,37.200001,41.450001,106997,41.450001
2016-11-10,42.200001,43.25,42,42.349998,73790,42.349998
2016-11-11,42,42,40,40.700001,64113,40.700001
2016-11-15,40.700001,40.700001,35.700001,36.900002,115619,36.900002
2016-11-16,38.900002,39,36.900002,37.849998,96540,37.849998
2016-11-17,38.950001,38.950001,36.75,37.950001,100200,37.950001
2016-11-18,37.5,38.400002,36.75,37.900002,48337,37.900002
2016-11-21,38.349998,38.349998,37.049999,37.349998,32909,37.349998
2016-11-22,38.599998,38.599998,35.5,36.900002,34691,36.900002
2016-11-23,36.75,37.099998,36.099998,36.900002,41008,36.900002
2016-11-24,36.849998,37.25,36,36.349998,39364,36.349998
2016-11-25,36.349998,37.900002,36.150002,37.700001,20741,37.700001
2016-11-28,37.049999,37.950001,36.75,37,21287,37
2016-11-29,37.950001,37.950001,36.549999,37.5,30423,37.5
2016-11-30,38.349998,38.349998,37.400002,37.950001,14131,37.950001
2016-12-01,38.5,40.799999,37.299999,37.700001,118238,37.700001
2016-12-02,38.150002,38.25,35.400002,37.200001,35780,37.200001
2016-12-05,37.950001,37.950001,36.599998,37.299999,20879,37.299999
2016-12-06,37.950001,37.950001,37,37.200001,20317,37.200001
2016-12-07,37.799999,44.599998,37,38.5,291898,38.5
2016-12-08,39.799999,40.400002,38.700001,39.849998,64975,39.849998
2016-12-09,41.700001,42.5,38.799999,41.549999,150791,41.549999
2016-12-12,41.349998,42,39.599998,41.25,1204569,41.25
2016-12-13,41.200001,41.849998,40.200001,40.599998,52394,40.599998
2016-12-14,40.25,41.200001,39.599998,39.799999,33878,39.799999
2016-12-15,39.549999,41.25,39.549999,40.400002,45284,40.400002
2016-12-16,40.5,41.5,38.099998,40.650002,109905,40.650002
2016-12-19,40.950001,44.5,37.450001,40.450001,270796,40.450001
2016-12-20,40.299999,40.849998,39.450001,39.650002,17034,39.650002
2016-12-21,40.200001,40.200001,38.299999,39.400002,91527,39.400002
2016-12-22,39.200001,39.200001,38,38.200001,45707,38.200001
2016-12-23,38,38.200001,37.5,37.650002,25494,37.650002
2016-12-26,38.5,38.5,36.299999,36.5,31458,36.5
2016-12-27,36.099998,37.299999,36.099998,36.849998,15013,36.849998
2016-12-28,37.599998,37.75,36.849998,36.950001,19312,36.950001
2016-12-29,38,38,37,37.150002,10440,37.150002
2016-12-30,37.950001,37.950001,37.400002,37.700001,16554,37.700001
2017-01-02,37.950001,38.299999,37.5,38.099998,13947,38.099998
2017-01-03,37.950001,39.200001,37.950001,38.5,21869,38.5
2017-01-04,38.75,39.400002,38.5,38.700001,17184,38.700001
2017-01-05,39.349998,39.75,39.099998,39.299999,30726,39.299999
2017-01-06,39.200001,39.799999,38.650002,38.849998,15673,38.849998
2017-01-09,38.849998,39.900002,38.700001,39.849998,22126,39.849998
2017-01-10,39.950001,42.400002,39.25,40.900002,124146,40.900002
2017-01-11,41,41.349998,39.799999,40.049999,69748,40.049999
2017-01-12,40,40.700001,39.099998,39.450001,17898,39.450001
2017-01-13,39.049999,40.200001,38.799999,39.049999,51283,39.049999
2017-01-16,39.700001,40.900002,39.099998,39.799999,75356,39.799999
2017-01-17,39.75,40.450001,39.5,39.700001,17279,39.700001
2017-01-18,39.400002,40.400002,39.400002,39.599998,19848,39.599998
2017-01-19,39.599998,40.25,39.200001,39.25,14115,39.25
2017-01-20,39.799999,39.799999,38.75,38.900002,16196,38.900002
2017-01-23,40.200001,40.25,39.200001,40,40948,40
2017-01-24,41.5,43.849998,41,42,290995,42
2017-01-25,42.5,43.200001,39.599998,40.5,48277,40.5
2017-01-27,40.5,41.599998,40.5,40.849998,21980,40.849998
2017-01-30,40.150002,41,40.099998,40.200001,34747,40.200001
2017-01-31,40.200001,40.5,39.5,39.549999,23493,39.549999
2017-02-01,40,40,38.799999,39.25,28939,39.25
2017-02-02,40,40,38,39,34427,39
2017-02-03,39.400002,39.950001,38.900002,39.5,22301,39.5
2017-02-06,39.150002,40.799999,39.150002,40.150002,31132,40.150002
2017-02-07,40.400002,43.299999,39.450001,41.849998,170800,41.849998
2017-02-08,42.150002,43,40.5,42.049999,63789,42.049999
