"Date","BPCL.NS.Open","BPCL.NS.High","BPCL.NS.Low","BPCL.NS.Close","BPCL.NS.Volume","BPCL.NS.Adjusted"
2016-05-03,324.96701,325.333008,317.066986,317.96701,2615100,281.575714
2016-05-04,315.75,320.666992,314.433014,315.683014,2101491,279.55307
2016-05-05,316.333008,317.066986,309.71701,312.933014,2106765,277.117859
2016-05-06,311,315,309.233002,313.066986,3639726,277.236481
2016-05-09,314.333008,316.666992,310.867004,312.333008,2811441,276.586487
2016-05-10,313.733002,314.299988,308.367004,309.117004,3167340,273.738586
2016-05-11,306.183014,309.183014,302.833008,306.516998,3148638,271.436127
2016-05-12,305.700012,311.117004,305.700012,308.816986,2006505,273.4729
2016-05-13,308.083008,311.666992,306.483002,309.266998,1637106,273.871399
2016-05-16,309.333008,310.299988,305.183014,307.566986,2048220,272.365936
2016-05-17,310.049988,316.183014,310,315.100006,3074298,279.036835
2016-05-18,314.03299,319.367004,310.149994,311.03299,4389615,275.435303
2016-05-19,310.600006,316.5,310.333008,314.416992,3062916,278.431976
2016-05-20,314.766998,315.75,306,306.833008,2386458,271.716003
2016-05-23,308.933014,310.700012,303.666992,307.299988,2196210,272.129517
2016-05-24,305.333008,308.382996,296.867004,298.649994,3098973,264.469482
2016-05-25,301.5,313.566986,293.71701,305.799988,2368647,270.801208
2016-05-26,307,310.333008,302.367004,308.933014,3621822,273.575653
2016-05-27,317,341.566986,315.816986,337.333008,17654760,298.72525
2016-05-30,340,341.316986,331.200012,333.149994,3930579,295.020966
2016-05-31,333.149994,335.983002,324.649994,326.833008,6996798,289.426971
2016-06-01,331.666992,332,327.367004,329.03299,3222198,291.375183
2016-06-02,328.899994,335.5,326.233002,334.367004,4329798,296.098724
2016-06-03,337.333008,344.649994,334.617004,337.5,5581194,298.873108
2016-06-06,335.46701,336.433014,330,331.416992,3845928,307.136841
2016-06-07,334,334.083008,324.46701,325.416992,3520614,301.576416
2016-06-08,324.083008,328.46701,323.049988,326.71701,3068823,302.781189
2016-06-09,330.100006,335.266998,329,332.483002,3951108,308.124756
2016-06-10,333,334.78299,328.183014,328.950012,2539329,304.850616
2016-06-13,327.416992,337.649994,326.666992,336.21701,3734100,311.585205
2016-06-14,338.666992,339,329.382996,330.382996,3226785,306.178619
2016-06-15,331.75,337.933014,331.75,337,2516670,312.310852
2016-06-16,338.066986,340,333.53299,337.166992,3298608,312.465607
2016-06-17,338.916992,339.916992,333.666992,334.983002,2631132,310.44162
2016-06-20,333.316986,337.5,331.350006,334.933014,1863789,310.395294
2016-06-21,334.933014,337.399994,333.03299,336.183014,2202597,311.553711
