"Date","HDFCBANK.NS.Open","HDFCBANK.NS.High","HDFCBANK.NS.Low","HDFCBANK.NS.Close","HDFCBANK.NS.Volume","HDFCBANK.NS.Adjusted"
2016-05-06,1148.875,1149.128,1133.905,1119.650024,683288,1103.204712
2016-05-09,1136.696,1162.018,1135.681,1141.400024,1738295,1124.635132
2016-05-10,1160.546,1164.606,1153.036,1144.900024,1363250,1128.08374
2016-05-11,1151.615,1162.068,1146.54,1138.800049,1536843,1122.073364
2016-05-12,1161.054,1169.173,1149.382,1149.099976,1055422,1132.222046
2016-05-13,1165.113,1165.113,1146.845,1140.900024,1261329,1124.142456
2016-05-16,1162.068,1183.28,1149.433,1162.800049,1129692,1145.720825
2016-05-17,1182.417,1186.68,1168.462,1153.449951,1073856,1136.508057
2016-05-18,1168.158,1168.158,1148.367,1140.650024,1040661,1123.896118
2016-05-19,1157.095,1159.734,1148.875,1139.300049,963949,1122.56604
2016-05-20,1156.943,1165.621,1150.499,1140.900024,504158,1124.142456
2016-05-23,1158.973,1167.092,1150.092,1136.75,865883,1120.053467
2016-05-24,1155.37,1160.698,1152.478,1139.949951,814867,1123.206421
2016-05-25,1163.388,1193.48,1163.388,1173.300049,1441837,1156.06665
2016-05-26,1193.632,1206.623,1183.635,1183.25,3426390,1165.870483
2016-05-27,1200.889,1207.739,1194.241,1186.800049,1443796,1169.368286
2016-05-30,1204.695,1212.814,1195.662,1179.75,953633,1162.421875
2016-05-31,1203.578,1203.578,1194.951,1181.900024,1378910,1164.540283
2016-06-01,1200.584,1200.584,1188.456,1175.150024,1418908,1157.889404
2016-06-02,1192.211,1198.199,1188.456,1174.949951,1977654,1157.692383
2016-06-03,1197.692,1202.665,1186.477,1171.75,1131105,1154.539307
2016-06-06,1193.531,1200.026,1187.492,1171.099976,1386827,1153.898804
2016-06-07,1194.495,1197.59,1185.056,1173.699951,1407126,1156.460693
2016-06-08,1193.328,1195.56,1178.307,1162.599976,1185703,1145.523682
2016-06-09,1179.829,1181.555,1169.68,1159.400024,1162046,1142.37085
2016-06-10,1175.668,1190.181,1173.435,1161.349976,1580578,1144.292114
2016-06-13,1171.964,1182.316,1168.209,1152.900024,830809,1135.966187
2016-06-14,1172.217,1174.247,1161.307,1151.849976,957192,1134.931641
2016-06-15,1172.218,1188.355,1170.391,1169.550049,761456,1152.371704
2016-06-16,1183.94,1186.274,1172.573,1162.150024,1181942,1145.080322
2016-06-17,1184.396,1195.56,1182.925,1170,940413,1152.815063
2016-06-20,1176.277,1196.829,1176.074,1172.050049,685691,1154.834961
2016-06-21,1192.516,1192.972,1178.51,1166.650024,667742,1149.514282
2016-06-22,1183.381,1192.516,1183.381,1171.5,950960,1154.293091
2016-06-23,1187.238,1209.617,1184.904,1190.099976,981683,1172.619751
2016-06-24,1177.14,1189.369,1164.098,1161.900024,2793491,1144.834106
2016-06-27,1179.322,1186.426,1170.239,1159.949951,1040947,1142.912598
2016-06-28,1178.561,1190.587,1167.143,1166.949951,1008745,1149.809814
2016-06-29,1172.741,1177.271,1167.406,1168.300049,1355167,1160.588257
2016-06-30,1178.781,1187.841,1169.872,1176.449951,4069723,1168.684326
2016-07-01,1187.841,1192.874,1179.586,1174.5,1076219,1166.747314
2016-07-04,1186.029,1187.337,1179.184,1172.800049,1812463,1165.058594
2016-07-05,1180.593,1182.103,1169.721,1165.599976,534082,1157.906006
2016-07-07,1175.66,1196.649,1168.614,1185.650024,1208154,1177.82373
2016-07-08,1192.975,1193.478,1179.033,1174.849976,779717,1167.094971
2016-07-11,1193.881,1209.886,1188.898,1199.75,1275633,1191.830566
2016-07-12,1217.939,1217.939,1203.494,1202.150024,1761508,1194.214844
2016-07-13,1207.772,1209.937,1201.229,1197.75,1671768,1189.843872
2016-07-14,1208.98,1210.138,1200.122,1200.349976,864917,1192.426636
2016-07-15,1211.799,1234.146,1203.041,1223.699951,1443554,1215.622437
2016-07-18,1233.14,1246.729,1230.774,1227.449951,1109621,1219.347778
2016-07-19,1237.166,1238.928,1221.916,1218.349976,646501,1210.307861
2016-07-20,1231.126,1246.729,1229.868,1232.199951,1172583,1224.066406
2016-07-21,1238.878,1248.139,1230.623,1228.599976,2278226,1220.490112
2016-07-22,1241.545,1242.854,1229.617,1230.800049,1405068,1222.675659
2016-07-25,1241.193,1257.752,1235.153,1246.949951,2468221,1238.718994
2016-07-26,1250.655,1253.927,1243.357,1238.800049,1416498,1230.622925
2016-07-27,1249.246,1255.84,1238.173,1236.949951,2683684,1228.785034
2016-07-28,1246.226,1259.564,1243.76,1248.449951,2661632,1240.209106
2016-07-29,1256.293,1258.306,1243.206,1246.199951,848919,1237.973999
2016-08-01,1257.299,1267.315,1235.807,1242.300049,1390216,1234.099854
2016-08-02,1255.286,1264.799,1248.642,1243.300049,1332349,1235.093262
2016-08-03,1249.347,1258.255,1239.18,1240.449951,1183469,1232.261963
2016-08-04,1254.883,1254.984,1241.797,1241,1165720,1232.80835
2016-08-05,1255.689,1263.993,1250.001,1249.25,1446228,1241.003906
2016-08-08,1261.225,1263.339,1252.82,1249.599976,1182194,1241.351563
2016-08-09,1261.225,1261.225,1245.924,1247.199951,1052714,1238.967407
2016-08-10,1253.273,1259.262,1227.855,1226.900024,904930,1218.801392
2016-08-11,1234.952,1243.206,1230.12,1228.25,714018,1220.142456
2016-08-12,1239.23,1243.206,1227.503,1228.699951,1160374,1220.589478
2016-08-16,1241.193,1246.679,1221.865,1227.300049,867142,1219.198853
2016-08-17,1241.596,1245.723,1234.146,1234.900024,1377759,1226.748657
2016-08-18,1246.226,1263.238,1242.753,1252.5,1527914,1244.232422
2016-08-19,1258.306,1258.306,1249.699,1247.099976,1027659,1238.868042
2016-08-22,1253.323,1262.785,1249.246,1250.300049,1375323,1242.046997
2016-08-23,1259.313,1262.332,1254.33,1251.449951,1328631,1243.189331
2016-08-24,1260.37,1272.6,1255.336,1261.800049,1392734,1253.471069
2016-08-25,1272.399,1275.218,1262.635,1258.550049,2182472,1250.242554
2016-08-26,1268.372,1270.285,1262.232,1257.099976,630284,1248.802002
2016-08-29,1263.842,1263.842,1244.414,1238.099976,736046,1229.92749
2016-08-30,1253.373,1278.942,1252.216,1268.650024,2466902,1260.275879
2016-08-31,1277.432,1303.605,1273.909,1291.199951,2790341,1282.67688
2016-09-01,1296.558,1298.572,1283.875,1283.699951,1306169,1275.22644
2016-09-02,1294.042,1297.565,1289.663,1285.099976,988797,1276.617188
2016-09-06,1298.622,1312.564,1298.622,1300.400024,1377221,1291.816284
2016-09-07,1309.645,1313.671,1291.626,1286.75,1004111,1278.256348
2016-09-08,1298.572,1303.857,1292.129,1289.400024,726345,1280.888916
2016-09-09,1298.572,1303.102,1286.794,1290.400024,1003442,1281.882324
2016-09-12,1283.17,1292.935,1279.949,1279.900024,996432,1271.451538
2016-09-14,1283.472,1285.485,1273.808,1269.449951,962377,1261.070435
2016-09-15,1280.452,1292.431,1278.288,1279.599976,875453,1271.153564
2016-09-16,1292.331,1313.168,1292.331,1297.849976,1631454,1289.283081
2016-09-19,1305.618,1311.155,1296.558,1290.150024,1473708,1281.633911
2016-09-20,1301.239,1303.605,1292.582,1288.449951,944562,1279.945068
2016-09-21,1300.585,1306.625,1296.458,1293,1064100,1284.465088
2016-09-22,1313.671,1325.701,1309.192,1306.900024,1638950,1298.273315
2016-09-23,1314.728,1327.211,1310.148,1312.699951,1219202,1304.035034
2016-09-26,1314.779,1317.597,1302.296,1296.150024,1394193,1287.59436
2016-09-27,1307.631,1314.829,1303.454,1298.050049,1014203,1289.481812
2016-09-28,1308.538,1308.638,1297.565,1295.25,1247413,1286.700195
2016-09-29,1306.574,1314.678,1276.375,1277.5,4112503,1269.067383
2016-09-30,1285.586,1289.512,1275.821,1272.849976,1034607,1264.44812
2016-10-03,1289.512,1298.471,1284.881,1287.199951,975137,1278.703369
2016-10-04,1297.162,1303.605,1290.821,1289.550049,693878,1281.037964
2016-10-05,1306.625,1308.689,1284.881,1286.099976,911755,1277.610596
2016-10-06,1295.652,1304.209,1287.549,1281.949951,723928,1273.488037
2016-10-07,1292.532,1296.307,1284.73,1280.599976,834366,1272.146973
2016-10-10,1293.538,1296.458,1287.247,1284.349976,1179828,1275.872192
2016-10-13,1287.499,1287.499,1264.799,1262.75,1129839,1254.414795
2016-10-14,1274.161,1276.426,1262.332,1261.800049,1016779,1253.471069
2016-10-17,1273.909,1274.815,1240.941,1237.699951,1283840,1229.530029
2016-10-18,1251.461,1268.372,1247.233,1257.849976,652742,1249.547119
2016-10-19,1269.48,1271.392,1256.293,1258.349976,761226,1250.043823
2016-10-20,1268.624,1275.872,1259.313,1255.5,800089,1247.212646
2016-10-21,1264.346,1281.408,1258.306,1270.699951,989102,1262.312256
2016-10-24,1280.2,1285.334,1269.429,1263.550049,813916,1255.209595
2016-10-25,1276.426,1276.426,1252.316,1250.300049,1375449,1242.046997
2016-10-26,1251.612,1273.406,1243.257,1239.300049,1341635,1231.119629
2016-10-27,1247.233,1265.352,1232.284,1252.099976,2905965,1243.835083
2016-10-28,1262.836,1270.285,1248.34,1259.050049,1330134,1250.739258
2016-11-01,1264.346,1272.248,1255.336,1259.800049,850604,1251.484253
2016-11-02,1259.413,1264.044,1249.749,1246.150024,1618608,1237.924316
2016-11-03,1253.273,1268.372,1239.935,1254.949951,1578953,1246.66626
2016-11-04,1261.125,1261.125,1250.001,1243.699951,1433730,1235.490479
2016-11-07,1260.319,1263.188,1248.239,1249.449951,1417848,1241.202515
2016-11-08,1259.413,1266.359,1248.34,1254.300049,1337041,1246.02063
2016-11-09,1207.974,1265.755,1203.293,1251.25,3411367,1242.990723
2016-11-10,1272.147,1291.525,1262.433,1278.550049,2675184,1270.110474
2016-11-11,1282.465,1290.519,1274.01,1275.800049,1784830,1267.378662
2016-11-15,1285.989,1297.565,1258.96,1254.75,3128131,1246.467529
2016-11-16,1276.425,1276.425,1248.29,1244.349976,2161936,1236.13623
2016-11-17,1246.528,1257.199,1233.291,1230.199951,1203906,1222.07959
2016-11-18,1244.213,1244.213,1217.235,1211.400024,1719975,1203.403687
2016-11-21,1227.603,1227.603,1196.246,1198.699951,1388130,1190.787476
2016-11-22,1214.819,1214.819,1197.253,1198.050049,2504446,1190.141846
2016-11-23,1210.994,1210.994,1188.948,1184.75,883173,1176.929688
2016-11-24,1191.867,1194.183,1168.614,1165.5,3821499,1157.806641
2016-11-25,1176.768,1201.128,1165.695,1189.300049,1492490,1181.449707
2016-11-28,1188.092,1206.866,1185.928,1184.449951,1032545,1176.631592
2016-11-29,1192.572,1200.877,1184.318,1178.75,983161,1170.969238
2016-11-30,1192.874,1209.987,1188.948,1199.599976,1610710,1191.681641
2016-12-01,1210.289,1215.926,1200.927,1197.25,1119246,1189.347168
2016-12-02,1196.901,1209.937,1184.519,1189.099976,1015668,1181.250854
2016-12-05,1195.491,1206.917,1184.318,1196.349976,1137984,1188.453003
2016-12-06,1202.94,1210.843,1198.108,1194.449951,675741,1186.565552
2016-12-07,1209.836,1213.913,1174.754,1181.599976,1407048,1173.800415
2016-12-08,1194.887,1213.561,1194.887,1199.5,1077424,1191.582275
2016-12-09,1207.068,1210.289,1195.894,1198.300049,1096988,1190.390259
2016-12-12,1199.92,1200.071,1188.948,1184.449951,856318,1176.631592
2016-12-13,1188.092,1198.26,1186.381,1186.25,631717,1178.419678
2016-12-14,1194.887,1195.894,1181.197,1175.699951,1078536,1167.939331
2016-12-15,1171.936,1202.437,1171.332,1176.599976,1235372,1168.833374
2016-12-16,1184.418,1192.874,1179.335,1182.300049,813957,1174.49585
2016-12-19,1184.62,1187.337,1178.278,1176.75,790109,1168.982422
2016-12-20,1183.814,1192.874,1179.486,1181.900024,1047498,1174.098511
2016-12-21,1191.867,1192.874,1182.808,1180,664719,1172.210938
2016-12-22,1184.217,1187.337,1176.164,1173.099976,701429,1165.356567
2016-12-23,1178.781,1197.152,1177.07,1186.25,1188129,1178.419678
2016-12-26,1186.381,1193.981,1177.875,1175,1045966,1167.244019
2016-12-27,1187.136,1194.787,1181.7,1185.199951,1224824,1177.376587
2016-12-28,1197.807,1202.89,1188.847,1186.75,1626960,1178.916382
2016-12-29,1192.874,1215.976,1189.3,1205.199951,2025204,1197.244629
2016-12-30,1207.974,1220.053,1207.923,1206.199951,1016635,1198.238037
2017-01-02,1217.486,1218.141,1199.971,1197.099976,927164,1189.19812
2017-01-03,1208.779,1209.937,1193.629,1189.900024,961875,1182.045654
2017-01-04,1197.756,1199.921,1191.666,1185.5,1741780,1177.674683
2017-01-05,1196.901,1202.437,1190.961,1186.199951,1694096,1178.369995
2017-01-06,1198.008,1206.363,1196.095,1193.650024,1381315,1185.770874
2017-01-09,1206.816,1212.151,1200.072,1195.199951,1143449,1187.310547
2017-01-10,1204.148,1224.885,1203.242,1214.349976,1386529,1206.334229
2017-01-11,1225.59,1246.327,1223.577,1234,2335851,1225.854492
2017-01-12,1243.206,1251.964,1233.643,1235,729079,1226.8479
2017-01-13,1247.233,1247.937,1236.764,1232.5,962603,1224.364502
2017-01-16,1241.696,1257.752,1240.992,1247.650024,941466,1239.414429
2017-01-17,1255.286,1260.722,1244.465,1238.5,889903,1230.324829
2017-01-18,1249.146,1264.346,1249.095,1242.599976,1153222,1234.397705
2017-01-19,1253.172,1253.172,1243.206,1236.300049,878103,1228.139404
2017-01-20,1244.213,1253.273,1238.173,1236.349976,3485517,1228.188965
2017-01-23,1244.213,1258.306,1244.012,1244.650024,1198462,1236.434326
2017-01-24,1258.306,1279.949,1257.551,1267.550049,2565466,1259.183105
2017-01-25,1281.056,1304.209,1278.539,1290.599976,3909246,1282.080933
2017-01-27,1307.631,1308.638,1296.558,1291.900024,1713059,1283.372437
2017-01-30,1301.541,1301.541,1289.059,1284.949951,1329907,1276.46814
2017-01-31,1290.921,1301.29,1285.485,1286.650024,1525260,1278.156982
2017-02-01,1294.746,1318.705,1289.009,1305.699951,2727666,1297.081177
2017-02-02,1314.376,1314.376,1301.189,1298.699951,1492909,1290.127441
2017-02-03,1307.631,1324.744,1305.115,1311.050049,2001276,1302.395996
2017-02-06,1321.02,1328.771,1320.164,1314.099976,1077555,1305.425781
2017-02-07,1324.744,1326.758,1311.608,1307.150024,852980,1298.521729
2017-02-08,1316.238,1327.462,1306.776,1305.650024,1235240,1297.031616
2017-02-09,1318.101,1328.67,1301.139,1297.650024,1116344,1289.084473
2017-02-10,1306.977,1317.446,1306.625,1303.599976,824184,1294.995117
2017-02-13,1316.238,1323.738,1307.833,1310.199951,698948,1301.551514
2017-02-14,1322.731,1322.731,1312.665,1311.099976,611515,1302.445557
2017-02-15,1320.718,1332.798,1316.138,1322.199951,1531735,1313.47229
2017-02-16,1331.791,1341.857,1329.023,1327.900024,1260925,1319.134766
2017-02-17,1454.602,1463.661,1369.49,1377.050049,100564990,1367.960327
2017-02-20,1370.245,1424.855,1368.181,1409.099976,2641679,1399.798706
2017-02-21,1415.393,1431.248,1406.685,1415.550049,1565007,1406.206177
2017-02-22,1424.402,1428.228,1404.118,1399.150024,1324194,1389.914429
2017-02-23,1413.128,1430.794,1396.267,1394.300049,8623745,1385.096436
2017-02-27,1400.142,1407.642,1387.76,1393.599976,1170344,1384.401001
2017-02-28,1402.156,1405.528,1393.7,1390.099976,732002,1380.924072
2017-03-01,1405.729,1405.779,1395.612,1391.650024,870434,1382.463989
2017-03-02,1403.816,1405.276,1385.395,1380.099976,1150497,1370.990112
2017-03-03,1393.7,1393.7,1378.097,1377,623206,1367.910645
