"Date","RELINFRA.NS.Open","RELINFRA.NS.High","RELINFRA.NS.Low","RELINFRA.NS.Close","RELINFRA.NS.Volume","RELINFRA.NS.Adjusted"
2015-02-24,484.982,488.047,474.519,455.700012,1817865,431.193024
2015-02-25,483.291,487.201,479.803,457.25,1358363,432.659668
2015-02-26,478.588,491.323,475.629,455.75,2485101,431.240326
2015-02-27,486.039,501.891,483.291,473.200012,2071597,447.751892
2015-03-02,506.541,513.622,495.075,479.450012,2022963,453.665771
2015-03-03,510.451,527.149,507.968,494.5,2873570,467.906372
2015-03-04,528.418,536.767,497.769,475.399994,3731895,449.833588
2015-03-05,509.87,520.491,506.594,490.049988,4132334,463.695679
2015-03-09,513.622,516.423,491.587,467.450012,1747751,442.311127
2015-03-10,494.599,498.298,479.063,458.25,1736379,433.605865
2015-03-11,485.087,489.738,478.746,459.25,1678507,434.552063
2015-03-12,488.258,514.626,488.047,484.549988,2751280,458.491486
2015-03-13,517.849,523.768,486.461,462.399994,2720554,437.532684
2015-03-16,490.53,491.587,477.055,454.600006,1354473,430.152161
2015-03-17,484.242,488.469,473.568,457,1970987,432.423096
2015-03-18,480.173,486.99,475.629,453.850006,1660627,429.442505
2015-03-19,486.144,495.55,476.897,454.600006,2092858,430.152161
2015-03-20,476.316,479.275,459.723,436.399994,2124185,412.930969
2015-03-23,455.602,463.581,451.85,434.049988,2196803,410.707336
2015-03-24,457.61,459.723,444.188,424.899994,1804957,402.049377
2015-03-25,451.269,454.862,445.456,427,1428387,404.036469
2015-03-26,448.204,458.402,446.724,425.100006,1817375,402.238647
2015-03-27,453.699,458.085,439.644,421,2258790,398.3591
2015-03-30,448.627,459.723,448.627,433.549988,1035660,410.234192
2015-03-31,460.78,465.43,453.382,433.799988,1640081,410.470734
2015-04-01,458.138,469.235,453.911,442.399994,1041266,418.608246
2015-04-06,460.992,462.365,444.928,431.399994,2346346,408.199799
2015-04-07,459.723,470.503,450.529,443.149994,2054644,419.317902
2015-04-08,470.186,486.673,464.532,453.950012,2240525,429.53714
2015-04-09,483.396,486.039,473.462,455.600006,1653255,431.098419
2015-04-10,480.86,510.399,476.738,474.149994,3293585,448.650787
2015-04-13,501.997,505.696,492.591,471.850006,1824187,446.474487
2015-04-15,500.517,508.338,486.356,464.200012,2047236,439.235901
2015-04-16,489.315,491.428,475.787,454.950012,1762519,430.483337
