"Date","BEL.NS.Open","BEL.NS.High","BEL.NS.Low","BEL.NS.Close","BEL.NS.Volume","BEL.NS.Adjusted"
2016-04-01,109.818001,110.814003,108.322998,109.009003,2416843,90.858406
2016-04-04,110.455002,110.814003,109.294998,109.626999,2154647,91.373512
2016-04-05,109.294998,109.294998,106.373001,107.367996,2884530,89.490646
2016-04-06,107.818001,108.827003,105.931999,106.509003,2060003,88.774673
2016-04-07,106.818001,106.818001,103.922997,104.759003,3728659,87.316063
2016-04-08,105.455002,107.031998,104.055,106.150002,1874136,88.475449
2016-04-11,106.544998,106.818001,102.959,104.605003,2906706,87.187706
2016-04-12,104.990997,108.455002,104.544998,107.599998,3183697,89.684013
2016-04-13,108.754997,110.445,107.726997,108.550003,2799478,90.475838
2016-04-18,108.550003,110.591003,107.550003,109.650002,2518901,91.392685
2016-04-20,109.650002,110.982002,108.376999,108.922997,2190276,90.786728
2016-04-21,109.273003,109.908997,105.199997,106.300003,2115993,88.600479
2016-04-22,104.726997,107.136002,104.726997,106.308998,2399925,88.607979
2016-04-25,106.800003,107.849998,106.023003,106.544998,1793671,88.804688
2016-04-26,106.363998,108.523003,106.150002,108.305,2436907,90.271629
2016-04-27,108.514,111.091003,108.449997,110.236,3242129,91.881104
2016-04-28,110.726997,112.044998,107.099998,107.609001,5377504,89.691521
2016-04-29,108.167999,109.617996,106.818001,107.441002,1826165,89.551491
2016-05-02,106.376999,109,106.376999,107.927002,1193104,89.956573
2016-05-03,108.609001,108.995003,106.455002,106.900002,1511653,89.100571
2016-05-04,106.636002,107.609001,103.636002,104.254997,1734568,86.895973
2016-05-05,104.435997,105.636002,103.705002,104.226997,2497836,86.872635
2016-05-06,104.254997,104.955002,103.181999,103.832001,1448623,86.543411
2016-05-09,104.068001,105.544998,103.677002,104.773003,2408670,87.327736
2016-05-10,104.982002,106.726997,104.973,106.332001,2195083,88.627151
2016-05-11,105.091003,106.154999,104.091003,105.223,998503,87.702805
2016-05-12,105.181999,106.245003,105.140999,105.459,983499,87.899506
2016-05-13,105.363998,105.427002,104.181999,104.445,1254418,87.054344
2016-05-16,104.544998,104.591003,101.185997,103.158997,3687057,85.982468
2016-05-17,103.636002,104.544998,102.273003,102.959,2370346,85.815765
2016-05-18,102.736,105.091003,102.273003,104.531998,2125695,87.126854
2016-05-19,104.544998,104.709,101.117996,101.617996,1717892,84.698044
2016-05-20,102.091003,102.636002,99.545403,100.009003,5706261,83.356956
2016-05-23,100.527,102.273003,99.304604,99.877296,1779041,83.247192
2016-05-24,99.990898,101.394997,98.363602,100.808998,2298802,84.023758
2016-05-25,101,102.404999,100.273003,100.832001,3211725,84.042931
2016-05-26,101.099998,103.181999,101.091003,102.181999,4238795,85.168144
2016-05-27,103.091003,109.544998,103.091003,107.550003,9148062,89.642342
2016-05-30,108.636002,109,106.363998,108.305,3482325,90.271629
2016-05-31,108.718002,108.726997,106.818001,107.113998,1551275,89.278938
2016-06-01,107.636002,109.091003,104.931999,105.136002,2256056,87.630295
2016-06-02,105.617996,106.273003,104.226997,105.859001,1222782,88.232903
2016-06-03,106.818001,106.955002,103.636002,103.935997,1921150,86.630096
2016-06-06,104.273003,108.550003,104.273003,107.849998,4436894,89.892395
2016-06-07,108.273003,111.181999,108.191002,110.667999,6454910,92.241173
2016-06-08,111.818001,118.205002,111.818001,117.199997,13908873,97.685562
2016-06-09,116.636002,119.449997,113.636002,114.695,8420082,95.597672
2016-06-10,115,117.636002,114.091003,115.064003,5149287,95.905228
2016-06-13,114.517998,114.917999,112.544998,113.264,2534444,94.404938
2016-06-14,113.917999,114.726997,111.941002,113.027,2341636,94.20739
2016-06-15,113.636002,116.254997,113.273003,114.504997,2818805,95.439293
2016-06-16,115.181999,116.599998,114.363998,115.390999,4645597,96.17778
2016-06-17,116.181999,116.468002,114.091003,114.308998,2217655,95.275925
2016-06-20,113.726997,118.318001,113.177002,116.794998,4728526,97.348
2016-06-21,117.818001,118.536003,116.109001,116.695,4051652,97.264656
2016-06-22,116.636002,117.172997,113.818001,114.968002,2968086,95.825211
2016-06-23,114.917999,116.264,114.140999,115.855003,1841840,96.564529
2016-06-24,109.273003,114.267998,107.277,113.473,3602137,94.579132
2016-06-27,114.091003,115.355003,113.363998,114.327003,2247597,95.290947
2016-06-28,114.490997,115.199997,113.095001,113.536003,3553385,94.631653
2016-06-29,114.117996,116.345001,114.117996,115.509003,3109810,96.276131
2016-06-30,116.363998,117,114.636002,115.191002,3650075,96.011078
2016-07-01,115.455002,116.632004,115.431999,115.613998,2633246,96.363632
2016-07-04,116.345001,117.25,115.568001,115.863998,3503841,96.572014
2016-07-05,116.267998,117.431999,115.455002,115.882004,1878635,96.587029
2016-07-07,115.882004,117.181999,115.004997,115.445,1943007,96.222786
2016-07-08,115.709,115.709,113.636002,114.390999,1470524,95.344276
2016-07-11,115.082001,116.091003,114.140999,114.367996,2265835,95.325104
2016-07-12,114.726997,115.363998,114.386002,114.709,1443134,95.609337
2016-07-13,115,116.164001,112.808998,113.300003,2751122,94.434952
2016-07-14,113.636002,116.544998,112.363998,116.267998,4573932,96.908745
2016-07-15,116.509003,116.900002,113.536003,113.876999,3456915,94.915855
2016-07-18,114.517998,114.973,112.740997,113.004997,1697091,94.189056
2016-07-19,113.449997,114.473,112.027,112.867996,1928487,94.07486
2016-07-20,113,115,112.726997,113.605003,2146727,94.689156
2016-07-21,113.732002,114.723,112.341003,112.504997,2997764,93.772308
2016-07-22,112.482002,113.318001,111.509003,112.373001,3106400,93.662292
2016-07-25,112.495003,113.818001,111.459,113.068001,2755753,94.241577
2016-07-26,113.681999,113.904999,111,111.486,1554597,92.922974
2016-07-27,111.818001,112.558998,110.099998,110.832001,2326456,92.377869
2016-07-28,112.544998,113.541,110.582001,111.009003,5100502,92.525414
2016-07-29,111.273003,112.805,111.091003,112.355003,3371929,93.647285
2016-08-01,112.363998,114.363998,112.300003,112.791,3525533,94.010681
2016-08-02,114.085999,114.185997,111.818001,112.685997,3032887,93.92318
2016-08-03,112.636002,113.814003,111.158997,112.414001,4061420,93.696465
2016-08-04,113.072998,113.164001,111.544998,111.904999,1372294,93.272209
2016-08-05,112.582001,115.181999,112.417999,114.486,4688189,95.423462
2016-08-08,112.726997,113.818001,111.544998,112.941002,5257626,94.135712
2016-08-09,113.172997,114.181999,112.591003,112.876999,2891394,94.082375
2016-08-10,112.908997,113.363998,111.818001,111.990997,1869604,93.343887
2016-08-11,111.990997,112.144997,109.232002,110.099998,2662924,91.767754
2016-08-12,110.455002,112,110.055,111.705002,1146673,93.105515
2016-08-16,111.705002,112.990997,110.732002,112.345001,1529693,93.638954
2016-08-17,112.544998,113.490997,112.023003,112.767998,1466762,93.991524
2016-08-18,112,112.955002,111.055,111.449997,1224949,106.599854
2016-08-19,111.818001,112.709,111.382004,111.781998,895488,106.917412
2016-08-22,111.726997,112.455002,110.914001,111.126999,1309858,106.290916
2016-08-23,111.218002,111.305,110.218002,110.963997,1335675,106.13501
2016-08-24,111.085999,112.105003,110.767998,111.636002,1087361,106.777771
2016-08-25,111.544998,111.963997,109.181999,109.617996,2175096,104.84758
2016-08-26,109.917999,111.435997,109.726997,110.835999,1089770,106.012581
2016-08-29,111.004997,111.726997,110.009003,110.445,835197,105.638603
