"Date","RELIANCE.NS.Open","RELIANCE.NS.High","RELIANCE.NS.Low","RELIANCE.NS.Close","RELIANCE.NS.Volume","RELIANCE.NS.Adjusted"
2010-11-22,577.446,584.897,573.82,506.125,8666390,439.778595
2010-11-23,578.107,578.309,561.046,497.799988,15138528,432.544891
2010-11-24,574.856,585.674,567.404,498.024994,9007940,432.740417
2010-11-25,576.582,577.158,559.895,489.75,13309394,425.55014
2010-11-26,566.8,569.907,551.436,481.174988,14007286,418.099243
2010-11-29,557.881,576.841,553.795,499.200012,10701852,433.761383
2010-11-30,575.317,580.438,564.556,492.799988,13936108,428.200317
2010-12-01,566.8,573.936,565.678,494.399994,8561276,429.590576
2010-12-02,574.856,583.171,572.583,505.575012,11353334,439.30069
2010-12-03,583.488,589.242,574.281,502.950012,8979328,437.019806
2010-12-06,584.552,592.695,582.912,510.075012,8133108,443.210815
2010-12-07,586.94,598.276,586.94,515.375,10239600,447.81604
2010-12-08,589.76,591.4,581.848,510.274994,7770610,443.384583
2010-12-09,589.558,594.91,563.204,492.25,14499572,427.722412
2010-12-10,567.836,592.695,563.549,511.950012,12128304,444.840027
2010-12-13,589.271,601.901,581.186,520.875,7696148,452.595032
2010-12-14,600.175,609.958,599.6,527.625,9180418,458.460175
2010-12-15,606.505,612.259,596.147,526.950012,9799830,457.873749
2010-12-16,608.634,609.958,598.478,528.424988,7100154,459.155334
2010-12-20,601.326,614.561,601.096,528.375,7249790,459.111938
2010-12-21,609.9,618.531,608.95,536.575012,7355694,466.237
2010-12-22,617.323,618.589,603.254,528.025024,6917906,458.80777
2010-12-23,608.692,612.662,604.491,529.700012,6670028,460.263184
2010-12-24,605.93,612.547,604.203,529.849976,4321592,460.393463
2010-12-27,608.979,615.021,604.865,527.625,2643358,458.460175
2010-12-28,607.828,609.785,599.744,523.950012,4049282,455.266998
2010-12-29,603.225,607.08,602.074,524.299988,5113182,455.571045
2010-12-30,605.584,607.512,602.045,525.599976,6657144,456.700623
2010-12-31,608.835,613.698,606.044,529.349976,4559518,459.959106
2011-01-03,612.835,613.698,605.699,527.799988,4759676,458.612244
2011-01-04,609.957,621.409,608.404,538.549988,10067662,467.953094
2011-01-05,621.466,627.22,615.712,537.900024,11860378,467.388306
2011-01-06,620.315,628.026,618.33,542.799988,9949394,471.645935
2011-01-07,622.214,625.926,608.807,532.700012,8171898,462.869965
2011-01-10,613.065,615.971,587.631,516.724976,8447710,448.989044
2011-01-11,598.449,603.455,574.626,506.875,9667740,440.430237
2011-01-12,587.314,595.946,577.158,515.400024,10603974,447.837799
2011-01-13,592.695,597.96,581.819,507.674988,11125792,441.125366
2011-01-14,583.516,592.579,574.281,500.75,8737276,435.108215
2011-01-17,577.158,580.035,570.857,498.950012,6421596,433.544128
2011-01-18,578.222,580.035,569.677,497.424988,6798762,432.219025
2011-01-19,575.201,578.309,561.046,490.075012,10739550,425.83255
2011-01-20,562.542,562.542,549.278,484.924988,18900768,421.357605
2011-01-21,561.046,571.116,559.895,493.399994,8927854,428.721649
2011-01-24,572.612,573.072,554.774,485.799988,10168620,422.117889
2011-01-25,562.254,566.771,550.256,479.25,9292160,416.426575
2011-01-27,555.867,556.673,540.906,471.350006,12848730,409.562164
2011-01-28,543.783,544.301,519.039,456.5,15477688,396.658813
2011-01-31,522.981,534.49,519.672,459.649994,11581144,399.395844
2011-02-01,532.332,533.828,511.3,447.75,17326090,389.055786
2011-02-02,523.643,533.943,522.089,460.649994,13013568,400.264771
2011-02-03,534.001,545.221,526.52,471.950012,7793648,410.083466
2011-02-04,545.164,545.164,525.455,460,9470358,399.699921
2011-02-07,532.677,540.215,526.175,464.524994,6668390,403.631836
2011-02-08,538.431,538.431,524.362,457.625,8999472,397.636292
2011-02-09,522.722,539.295,519.989,457.149994,17476566,397.223541
2011-02-10,525.081,529.857,509.315,449.825012,12959662,390.858765
2011-02-11,517.86,526.52,511.012,454.975006,9148972,395.333679
2011-02-14,521.399,528.39,514.493,457.399994,13781714,397.440796
2011-02-15,526.175,543.668,524.391,470.850006,12465290,409.127686
2011-02-16,539.927,547.12,539.812,472.075012,5047826,410.192169
2011-02-17,545.423,549.796,538.748,476.975006,6442130,414.449768
2011-02-18,550.141,554.141,536.302,467.774994,7199428,406.455811
2011-02-21,538.662,552.932,537.568,478.174988,11717110,415.492462
2011-02-22,570.828,580.841,563.491,492.424988,40652578,427.874481
2011-02-23,567.606,576.755,566.8,497.825012,14256504,432.56662
2011-02-24,573.13,574.626,551.465,482.100006,15042442,418.902954
2011-02-25,564.326,565.218,549.278,483.125,6903860,419.793549
2011-02-28,558.284,572.152,552.414,482.125,10280496,418.924652
2011-03-01,560.298,571.231,556.557,494.424988,5770564,429.612305
2011-03-03,561.161,566.8,557.075,488.700012,8923286,424.637817
2011-03-04,566.599,572.439,562.83,491.100006,7049486,426.723206
2011-03-07,560.528,565.822,554.716,488.524994,5404312,424.485718
2011-03-08,562.772,571.058,562.772,492.475006,5512370,427.917908
2011-03-09,568.929,577.963,557.075,496.924988,14845680,431.784607
2011-03-10,571.231,571.404,565.074,492.375,4504836,427.831024
2011-03-11,563.232,572.497,559.406,496.024994,6857696,431.002533
2011-03-14,571.375,587.372,570.972,509.174988,13171542,442.428741
2011-03-15,574.252,603.973,569.044,518.625,25805848,450.640015
2011-03-16,601.326,607.08,597.356,523.549988,9419968,454.919373
2011-03-17,598.046,603.513,591.544,515.424988,5660538,447.859497
2011-03-18,595.572,595.572,567.721,496.5,18516100,431.415283
2011-03-21,574.885,575.432,564.556,495.149994,7107464,430.242249
2011-03-22,571.432,578.251,570.914,499.825012,4477292,434.304474
2011-03-23,575.345,585.013,573.015,506.625,5220834,440.213074
2011-03-24,584.581,588.062,577.647,505.149994,5135774,438.931396
2011-03-25,589.184,592.666,581.186,513.299988,7036906,446.013062
2011-03-28,590.537,596.349,583.66,512.849976,8722518,445.622009
2011-03-29,586.94,593.845,586.71,511.375,8275622,444.340424
2011-03-30,591.256,597.01,589.3,516.25,5603684,448.576324
2011-03-31,595.284,607.023,595.284,524.549988,14402096,455.7883
2011-04-01,603.657,613.353,593.27,518.200012,8582188,450.270721
2011-04-04,598.449,606.965,592.119,525.325012,5994242,456.461761
2011-04-05,605.642,609.382,598.449,523.825012,4917646,455.158325
2011-04-06,601.326,606.649,598.449,522.424988,4152566,453.941864
2011-04-07,601.355,602.793,595.629,520.950012,4646484,452.660248
2011-04-08,599.6,604.721,587.314,511.950012,5484048,444.840027
2011-04-11,582.912,586.624,577.532,502.649994,5164416,436.759155
2011-04-13,576.496,589.242,573.475,510.899994,8739450,443.927643
2011-04-15,586.163,589.731,578.309,510.475006,6480002,443.55835
2011-04-18,586.48,601.153,575.777,504.575012,6763202,438.431763
2011-04-19,578.136,585.473,574.712,505.825012,5496492,439.517914
2011-04-20,584.638,592.982,580.15,512.950012,4715860,445.708954
2011-04-21,595.457,600.866,592.695,520.299988,6827506,452.095398
2011-04-25,583.488,587.516,578.395,504.674988,8292540,438.518677
2011-04-26,580.611,580.611,574.022,500.575012,8070088,434.956116
2011-04-27,578.309,580.668,563.981,493.049988,11296692,428.417511
2011-04-28,570.828,571.404,558.169,486.200012,16326472,422.465485
2011-04-29,561.046,568.526,558.917,491.875,6828400,427.396606
2011-05-02,566.167,567.836,553.162,482.375,6221826,419.141937
2011-05-03,555.349,556.673,541.51,471.950012,10070696,410.083466
2011-05-04,543.783,550.544,540.906,473.825012,5334324,411.712677
2011-05-05,534.602,545.096,533.838,474.975006,8952678,419.799805
2011-05-06,539.127,543.087,536.921,477.524994,5904972,422.053558
2011-05-09,543.087,546.51,538.222,479.649994,3663232,423.931702
2011-05-10,542.691,545.294,535.479,475.375,3722878,420.15329
2011-05-11,539.693,542.182,533.753,477.725006,3747398,422.230347
2011-05-12,538.279,540.117,532.339,472.75,4214610,417.833221
2011-05-13,534.743,544.219,530.613,474,6357368,418.938049
2011-05-16,537.43,538.222,532.65,472.5,3203890,417.612274
2011-05-17,534.969,535.62,518.903,460.325012,7947398,406.851624
2011-05-18,520.459,522.637,508.211,450.924988,11344494,398.543549
2011-05-19,513.897,521.59,511.832,457.75,8262178,404.575714
2011-05-20,519.582,523.74,514.971,461.600006,6342490,407.978485
2011-05-23,519.893,521.59,511.011,454.700012,6782832,401.880066
2011-05-24,512.539,520.968,512.539,457.875,5077934,404.686188
2011-05-25,517.121,517.121,509.71,453,5994490,400.377502
2011-05-26,516.272,529.991,515.424,466.924988,13715810,412.684937
2011-05-27,528.435,539.071,528.435,472.725006,6918994,417.811157
2011-05-30,536.836,539.127,528.52,469.424988,3458218,414.894501
2011-05-31,534.602,540.768,530.246,475.924988,6438426,420.639374
2011-06-01,538.562,542.324,533.838,473.399994,3676904,418.407715
2011-06-02,529.821,540.089,529.821,475.524994,4305926,420.285858
2011-06-03,543.37,547.047,526.965,467.299988,8736558,413.016357
2011-06-06,528.747,532.226,525.069,468.875,2811482,414.408386
2011-06-07,528.124,543.087,528.124,479.125,8051838,423.467712
2011-06-08,540.4,540.796,534.008,474.600006,6494076,419.468323
2011-06-09,536.016,541.871,535.733,477,4184040,421.589569
2011-06-10,540.315,540.825,527.276,472.25,5060272,417.391357
2011-06-13,533.612,533.612,521.025,462.799988,5908132,409.039063
2011-06-14,523.457,527.106,514.802,455.674988,8671120,402.74176
2011-06-15,515.933,519.837,508.352,450.274994,9214972,397.969055
2011-06-16,509.71,509.71,500.15,443.774994,11415056,392.224152
2011-06-17,504.223,505.354,489.458,434.375,10071236,383.916046
2011-06-20,495.002,495.002,468.47,416.625,13852156,368.227966
2011-06-21,475.145,483.687,473.674,424.325012,7960978,375.033539
2011-06-22,482.754,485.469,471.892,422.899994,9192518,373.774017
2011-06-23,478.907,493.7,478.539,435.25,9469684,384.689423
2011-06-24,494.521,497.66,484.027,435.700012,14478606,385.087158
2011-06-27,490.306,498.848,487.562,435.774994,6560050,385.153442
2011-06-28,497.208,497.208,487.647,435.549988,4672078,384.954529
2011-06-29,495.398,502.356,493.361,442.625,5682870,391.207703
2011-06-30,502.752,510.276,501.79,449.25,9940952,397.06311
2011-07-01,513.104,513.104,484.649,430.975006,13110568,380.911041
2011-07-04,494.662,497.491,489.344,434.200012,7543022,383.761414
2011-07-05,491.777,491.777,477.464,422.975006,15454860,373.840363
2011-07-06,480.208,485.667,475.598,426.450012,12287676,376.911682
2011-07-07,485.384,494.945,483.829,435.350006,9206408,384.777802
2011-07-08,493.87,494.436,481.99,427.424988,9571938,377.773376
2011-07-11,483.122,486.488,479.162,426.649994,4388252,377.08844
2011-07-12,479.444,485.045,478.426,423.875,5973514,374.635773
2011-07-13,482.584,492.003,481.481,432.725006,7785438,382.457733
2011-07-14,488.383,496.642,486.148,433.774994,6086042,383.385742
2011-07-15,490.872,495.567,489.344,436.600006,4665952,385.882568
2011-07-18,493.248,494.379,488.892,433.799988,3009418,383.407867
2011-07-19,490.759,498.622,489.91,439.725006,4490660,388.644562
2011-07-20,501.224,501.677,491.494,438.100006,5111188,387.208374
2011-07-21,495.539,495.539,485.13,430.424988,3605294,380.424927
2011-07-22,489.91,496.133,487.93,436.674988,6996386,385.948883
2011-07-25,504.619,504.619,497.349,441.424988,10014328,390.147064
2011-07-26,502.497,503.572,491.834,435.75,9354546,385.131348
2011-07-27,495.002,495.002,486.035,430.424988,6252128,380.424927
2011-07-28,483.687,483.687,471.468,418.674988,14309022,370.039795
2011-07-29,475.202,479.303,465.669,413.975006,9780362,365.885834
2011-08-01,474.07,474.07,464.651,415.424988,6510972,367.167389
2011-08-02,468.158,474.579,463.039,418.649994,7575550,370.017731
2011-08-03,467.706,473.052,465.641,412.524994,6439360,364.604218
2011-08-04,468.413,470.478,458.258,406.174988,6280284,358.991913
2011-08-05,452.29,452.29,440.693,396,11988194,349.99884
2011-08-08,439.392,450.536,433.904,390.325012,10168600,344.983124
2011-08-09,425.984,440.693,425.984,382.649994,14926038,338.199677
2011-08-10,444.285,446.916,432.773,386.375,8113086,341.492004
2011-08-11,434.668,444.059,432.773,386.100006,4978610,341.248932
2011-08-12,442.956,442.956,428.813,380.450012,7873534,336.255249
2011-08-16,429.944,436.903,426.946,379.575012,5160008,335.481842
2011-08-17,430.227,438.091,424.853,377.5,6192704,333.647919
2011-08-18,428.643,429.944,416.933,370.600006,7829830,327.549438
2011-08-19,413.567,418.064,408.051,366.274994,9326184,323.726868
2011-08-22,413.538,429.859,410.484,378.5,7105614,334.531769
2011-08-23,430.142,436.733,422.873,382.625,8017226,338.177551
2011-08-24,432.207,435.319,427.681,380.649994,5937582,336.431976
2011-08-25,430.849,435.036,424.429,376.75,9698436,332.985016
2011-08-26,424.853,427.738,402.79,359.700012,8915576,317.91568
2011-08-29,413.595,429.888,412.039,377.524994,8373860,333.670013
2011-08-30,432.773,450.48,432.207,391.299988,15642896,345.844818
2011-09-02,450.706,460.323,446.605,402.725006,15583090,355.942657
2011-09-05,449.461,452.007,442.927,394.424988,9134754,348.606812
2011-09-06,443.069,466.999,439.279,410.75,14324610,363.035431
2011-09-07,466.15,477.182,465.98,416.75,14372476,368.33847
2011-09-08,471.524,485.95,460.776,426.225006,16130776,376.712769
2011-09-09,482.075,485.696,465.98,412.875,13515726,364.913635
2011-09-12,458.428,465.273,449.886,403.149994,8493922,356.318268
2011-09-13,460.04,466.574,450.734,405.125,11612228,358.063904
