"Date","MINDTREE.NS.Open","MINDTREE.NS.High","MINDTREE.NS.Low","MINDTREE.NS.Close","MINDTREE.NS.Volume","MINDTREE.NS.Adjusted"
2014-09-25,657.207,660.673,638.496,597.25,433574,551.419128
2014-09-26,649.868,658.696,618.269,586.299988,247020,541.309631
2014-09-29,639.037,646.7,635.138,587.849976,154982,542.74054
2014-09-30,636.925,642.558,629.966,589.174988,313650,543.963806
2014-10-01,633.703,644.263,615.777,571.75,616960,527.876038
2014-10-07,617.944,624.659,586.046,552.575012,739240,510.172516
2014-10-08,598.962,606.273,572.426,530.775024,404922,490.045288
2014-10-09,580.197,580.197,560.512,518.825012,364604,479.01236
2014-10-10,563.219,570.26,555.15,521.349976,448614,481.343506
2014-10-13,568.635,581.795,568.635,528.599976,529822,488.03717
2014-10-14,571.343,576.542,555.096,517.549988,734876,477.835144
2014-10-15,560.566,560.566,560.566,517.549988,0,477.835144
2014-10-16,565.981,571.776,536.196,498.200012,1463162,459.970032
2014-10-17,541.232,546.946,523.469,486.725006,690904,449.37558
2014-10-20,527.186,534.64,527.186,492.850006,232550,457.85257
2014-10-21,534.344,556.761,532.837,514.174988,509168,477.663239
2014-10-22,557.057,567.66,557.057,522.924988,426012,485.79187
2014-10-27,573.203,573.203,551.675,517.075012,281042,480.357361
2014-10-28,551.728,559.56,551.728,515.275024,206524,478.685181
2014-10-29,551.89,578.047,551.89,531.900024,398324,494.129608
2014-10-30,580.039,594.113,575.895,547.349976,604512,508.482422
2014-10-31,587.197,598.5,584.614,546.799988,250478,507.971527
2014-11-03,592.041,596.858,572.531,534.625,525252,496.661163
2014-11-05,575.329,592.041,562.439,539.950012,1052940,501.607941
2014-11-07,577.536,597.369,577.536,551.424988,1199118,512.268127
2014-11-10,594.732,604.689,583.268,546.424988,220648,507.623322
2014-11-11,585.044,597.961,583.43,545.525024,224208,506.787109
2014-11-12,591.503,603.021,589.35,558.125,263166,518.492432
2014-11-13,602.805,616.261,602.805,565.599976,362346,525.436523
2014-11-14,611.417,618.414,602.805,562.674988,215820,522.719299
2014-11-17,608.188,618.414,598.257,571.174988,141496,530.615662
2014-11-18,614.485,619.948,608.187,566.75,112970,526.505005
2014-11-19,607.111,637.225,607.111,585.974976,778802,544.364624
2014-11-20,635.099,682.623,632.407,618.525024,698514,574.603333
2014-11-21,663.813,666.208,645.863,607.875,396446,564.709534
2014-11-24,654.34,660.233,645.863,601.974976,167078,559.228577
2014-11-25,651.676,667.392,638.974,601.924988,398242,559.182068
2014-11-26,648.554,660.933,648.554,607.625,196046,564.477417
2014-11-27,654.797,658.699,641.019,597.5,215306,555.071411
2014-11-28,648.85,653.398,639.404,599.724976,325582,557.138306
2014-12-01,648.016,677.08,645.917,622,589308,577.831482
2014-12-02,675.465,682.408,664.162,620.049988,438100,576.019958
2014-12-03,667.446,672.774,660.18,614.599976,297356,570.957031
2014-12-04,663.086,672.774,662.225,619.25,257998,575.276855
2014-12-05,664.97,667.472,648.554,607.450012,167952,564.314819
2014-12-08,649.092,659.318,624.603,592.450012,295088,550.379883
2014-12-09,635.421,651.245,632.704,592.424988,355922,550.356689
2014-12-10,641.127,645.109,636.632,593.825012,176022,551.657288
2014-12-11,635.099,637.79,626.487,591.525024,138582,549.520569
2014-12-12,633,654.475,633,597.549988,299574,555.117676
2014-12-15,636.767,640.481,631.008,592.125,184208,550.078125
2014-12-16,632.946,656.574,632.946,595.950012,297408,553.631409
2014-12-17,637.251,651.245,625.707,592.474976,232742,550.403137
2014-12-18,639.404,648.527,631.6,593.974976,175944,551.796631
2014-12-19,643.71,661.714,643.172,606.125,422230,563.083801
2014-12-22,658.942,669.06,656.627,618.224976,198584,574.324463
2014-12-23,666.208,673.527,660.933,624.125,351346,579.805786
2014-12-24,670.675,672.774,650.196,610.424988,107810,567.078552
2014-12-26,659.318,671.159,649.146,605.724976,142298,562.71228
2014-12-29,653.936,660.879,652.322,611.974976,73236,568.518433
2014-12-30,659.318,667.392,657.569,615.549988,79990,571.8396
2014-12-31,662.548,696.94,661.014,641.599976,466222,596.039673
2015-01-01,699.147,710.987,693.63,647.924988,374762,601.915588
2015-01-02,699.631,706.682,695.379,649.549988,389032,603.425232
2015-01-05,695.379,703.506,681.951,635.825012,177348,590.674866
2015-01-06,684.077,684.077,638.651,603.450012,578544,560.598816
2015-01-07,649.577,657.65,637.79,596.075012,337656,553.74762
2015-01-08,644.786,655.013,643.226,602.974976,329618,560.157593
2015-01-09,652.322,683.269,652.322,630.525024,482700,585.751282
2015-01-12,680.847,695.783,666.396,644.075012,253392,598.338928
2015-01-13,693.764,723.366,692.849,665.674988,664804,618.405212
2015-01-14,723.313,755.66,719.976,693.950012,681598,644.672363
2015-01-15,755.929,758.243,731.978,682.5,256642,634.035339
2015-01-16,739.513,756.144,734.669,690.125,254082,641.119019
2015-01-19,751.327,764.271,748.125,707.349976,572656,657.12085
2015-01-20,764.271,768.577,721.214,678.150024,1167324,629.994385
2015-01-21,737.36,737.36,710.476,662.275024,411906,615.246643
2015-01-22,721.214,726.058,702.995,657.625,309420,610.926819
2015-01-23,711.477,715.195,699.601,657.299988,269192,614.361877
2015-01-27,703.988,706.128,695.001,652.950012,404222,610.295898
2015-01-28,698.585,700.779,688.261,646.924988,247932,604.664429
2015-01-29,695.429,716.292,686.335,652.625,694204,609.992126
2015-01-30,700.778,710.916,697.622,660.549988,393414,617.399475
2015-02-02,703.988,719.769,700.832,665.299988,442674,621.839172
2015-02-03,711.424,716.747,667.665,647.825012,384284,605.505798
2015-02-04,695.429,708.803,695.429,660.099976,267066,616.97876
2015-02-05,708.803,728.194,705.245,667.924988,527762,624.292664
2015-02-06,714.767,736.352,714.767,679.349976,560474,634.971313
2015-02-09,721.454,740.364,719.502,685.950012,481946,641.140198
2015-02-10,733.41,738.225,713.189,682.224976,224674,637.65863
2015-02-11,727.526,753.203,727.526,696.525024,382460,651.024414
2015-02-12,745.714,770.321,745.714,714.450012,491630,667.778564
2015-02-13,766.844,778.346,765.239,725.424988,427432,678.036438
2015-02-16,778.346,796.534,776.767,741.525024,512004,693.084778
2015-02-18,793.351,793.859,771.338,731.75,171410,683.948425
2015-02-19,780.485,802.418,779.175,740.849976,297420,692.453857
2015-02-20,794.394,795.464,767.647,722.575012,167810,675.372681
2015-02-23,775.671,790.115,771.445,723.75,208122,676.470764
2015-02-24,796.534,796.534,774.788,727,333654,679.508545
2015-02-25,778.346,786.37,770.321,722.174988,176752,674.998718
2015-02-26,775.136,779.817,751.786,707.349976,386446,661.142212
2015-02-27,759.087,783.213,754.407,723.099976,109736,675.863403
2015-03-02,777.276,793.859,768.449,730.325012,176014,682.616333
2015-03-03,784.257,802.418,781.101,737.924988,366054,689.719849
2015-03-04,793.431,797.176,770.856,728.299988,242704,680.723633
2015-03-05,781.127,792.201,779.255,735.5,125040,687.453247
2015-03-09,759.622,764.972,731.297,704.150024,850852,658.151367
2015-03-10,755.717,762.11,744.109,700.900024,442700,655.113586
2015-03-11,756.627,760.478,743.467,701.150024,202428,655.34729
2015-03-12,748.415,759.435,746.035,705.599976,399286,659.506531
2015-03-13,757.483,757.483,734.213,691.474976,301692,646.30426
2015-03-16,737.155,756.948,729.505,702.200012,157504,656.328674
2015-03-17,744.243,762.297,744.243,707.775024,197908,661.539551
2015-03-18,759.088,775.109,758.526,713.849976,273036,667.217468
2015-03-19,768.449,770.214,743.44,702.924988,170476,657.006287
2015-03-20,753.738,762.297,742.959,701.025024,147028,655.230408
2015-03-23,753.203,754.861,736.673,693.25,87714,647.963318
2015-03-24,741.702,746.088,700.778,657.325012,377300,614.385193
2015-03-25,706.85,721.695,706.85,670.400024,214506,626.606018
2015-03-26,717.897,737.208,711.477,680.299988,431744,635.859253
2015-03-27,733.089,743.521,703.988,668.049988,690504,624.409546
2015-03-30,721.641,722.176,693.289,658,470616,615.016052
2015-03-31,714.152,714.152,695.429,651.825012,483648,609.244385
2015-04-01,700.779,730.468,690.08,677.325012,587534,633.078552
2015-04-06,723.353,786.049,723.353,726.174988,768046,678.737488
2015-04-07,780.485,799.743,765.346,739.450012,502954,691.145386
2015-04-08,792.308,821.141,790.623,759.724976,524240,710.095825
2015-04-09,817.825,850.563,817.825,783.599976,765644,732.411072
2015-04-10,831.84,841.897,793.11,764.724976,543204,714.769226
2015-04-13,818.574,820.633,791.826,742.275024,185238,693.785583
2015-04-15,803.221,803.221,761.227,714.775024,324282,668.082214
2015-04-16,761.762,787.868,738.225,695.75,675826,650.299988
2015-04-17,740.364,740.364,685.506,646.099976,1053858,603.893372
2015-04-20,684.757,687.94,643.138,607.025024,731450,567.370972
2015-04-21,647.284,670.126,636.585,616.549988,690902,576.273682
2015-04-22,662.744,682.055,658.839,621.5,451206,580.900391
2015-04-23,667.612,672.961,647.819,616.549988,946936,576.273682
2015-04-24,659.588,668.682,647.819,608.724976,366316,568.959839
2015-04-27,656.378,660.604,615.508,596.650024,296466,557.673706
2015-04-28,631.289,639.26,618.183,585.375,444450,547.135254
2015-04-29,629.417,658.571,626.421,610.025024,593204,570.175049
2015-04-30,655.308,657.983,642.871,609.650024,353822,569.824524
2015-05-04,657.983,685.639,653.168,619.924988,324476,579.428345
2015-05-05,679.381,699.174,676.492,646.099976,298802,603.893372
2015-05-06,691.256,704.47,668.682,631.875,640028,590.597595
2015-05-07,674.566,697.194,650.922,623.724976,352074,582.980103
2015-05-08,675.101,684.677,663.867,628.974976,220422,587.887024
2015-05-11,680.344,690.347,674.566,635.5,178596,593.985779
2015-05-12,682.055,694.546,674.914,642.275024,217276,600.318237
2015-05-13,689.464,706.048,682.911,641.200012,389562,599.313538
2015-05-14,690.08,727.526,688.501,675.700012,633990,631.559814
2015-05-15,724.851,753.203,724.851,697.400024,606448,651.842163
2015-05-18,747.533,750.341,726.349,699.049988,388592,653.384399
2015-05-19,751.598,762.244,736.192,691.650024,283854,646.467834
2015-05-20,746.249,751.063,742.264,697.525024,620076,651.959045
2015-05-21,743.574,758.553,738.786,701.900024,269934,656.048218
