"Date","RESTILE.BO.Open","RESTILE.BO.High","RESTILE.BO.Low","RESTILE.BO.Close","RESTILE.BO.Volume","RESTILE.BO.Adjusted"
2016-02-02,7.5,8,6.99,6.99,9679,6.99
2016-02-03,7.31,7.31,6.85,6.88,250,6.88
2016-02-04,6.85,7.9,5.51,5.51,30868,5.51
2016-02-05,5.9,6.04,4.65,5.41,16277,5.41
2016-02-08,6.16,6.48,4.72,5.43,16563,5.43
2016-02-09,5.74,5.74,4.82,5.06,10573,5.06
2016-02-10,4.9,5,4.21,4.5,28345,4.5
2016-02-11,4.89,4.89,4.05,4.05,14926,4.05
2016-02-12,4.05,4.37,3.8,4.37,1510,4.37
2016-02-15,3.94,4.73,3.94,4.43,2200,4.43
2016-02-16,4.87,4.87,4.87,4.87,3075,4.87
2016-02-17,4.9,4.96,4.57,4.57,3560,4.57
2016-02-18,4.9,5.02,4.9,5.02,1154,5.02
2016-02-19,5.49,5.5,4.7,5.24,5365,5.24
2016-02-22,4.77,4.77,4.68,4.68,27364,4.68
2016-02-23,4.7,4.79,4.25,4.79,899,4.79
2016-02-24,4.85,4.85,4.32,4.35,11197,4.35
2016-02-25,3.96,3.96,3.92,3.92,38081,3.92
2016-02-26,4.1,4.1,3.93,4.08,2170,4.08
2016-02-29,4.08,4.08,4.08,4.08,4211,4.08
2016-03-01,4.25,4.28,4.01,4.01,1020,4.01
2016-03-02,3.83,4.2,3.83,4.15,2620,4.15
2016-03-03,4.3,4.3,4.02,4.29,2015,4.29
2016-03-04,4.1,4.49,4.1,4.35,3143,4.35
2016-03-08,4.35,4.35,4.35,4.35,0,4.35
2016-03-09,4.2,4.55,4.2,4.55,260,4.55
2016-03-10,4.7,4.75,4.36,4.72,1071,4.72
2016-03-11,4.86,4.9,4.55,4.55,5305,4.55
2016-03-14,4.55,4.55,4.55,4.55,0,4.55
2016-03-15,4.77,4.77,4.77,4.77,1000,4.77
2016-03-16,4.54,4.54,4.54,4.54,262,4.54
2016-03-17,4.55,4.75,4.35,4.75,1376,4.75
2016-03-18,4.52,4.89,4.52,4.52,762,4.52
2016-03-21,4.7,4.7,4.5,4.5,710,4.5
2016-03-22,4.7,4.7,4.36,4.69,2837,4.69
2016-03-23,4.91,4.91,4.89,4.9,4368,4.9
2016-03-28,4.9,4.9,4.9,4.9,0,4.9
2016-03-29,4.66,4.66,4.66,4.66,54,4.66
2016-03-30,4.43,4.88,4.43,4.45,4072,4.45
2016-03-31,4.23,4.23,4.23,4.23,1137,4.23
2016-04-01,4.65,4.65,4.64,4.65,6426,4.65
2016-04-04,5.05,5.05,4.29,4.71,3009,4.71
2016-04-05,5.18,5.18,4.81,5,3800,5
2016-04-06,4.57,5.1,4.57,5.1,2701,5.1
2016-04-07,5.29,5.5,4.91,5.5,6427,5.5
2016-04-08,5.23,5.58,5.23,5.23,1705,5.23
2016-04-11,5.49,5.49,4.99,4.99,639,4.99
2016-04-12,4.76,5.23,4.76,5.23,1572,5.23
2016-04-13,4.97,5.49,4.97,5.09,4030,5.09
2016-04-18,5.09,5.3,4.95,5.3,120,5.3
2016-04-20,5.3,5.3,5.04,5.05,2001,5.05
2016-04-21,4.81,4.81,4.8,4.8,4565,4.8
2016-04-22,4.8,4.8,4.8,4.8,0,4.8
2016-04-25,4.8,4.8,4.8,4.8,0,4.8
2016-04-26,4.57,4.98,4.56,4.94,6392,4.94
2016-04-27,4.97,4.97,4.97,4.97,9,4.97
2016-04-28,4.8,4.8,4.8,4.8,84,4.8
2016-04-29,4.8,4.8,4.8,4.8,0,4.8
2016-05-02,4.56,4.98,4.56,4.56,11257,4.56
2016-05-03,4.78,4.78,4.37,4.37,3101,4.37
2016-05-04,4.22,4.22,4.22,4.22,200,4.22
2016-05-05,4.11,4.11,4.11,4.11,3500,4.11
2016-05-06,4.11,4.11,4.11,4.11,0,4.11
2016-05-09,4.1,4.31,4.1,4.31,2,4.31
2016-05-10,4.52,4.52,4.52,4.52,110,4.52
2016-05-11,4.52,4.65,4.3,4.33,1801,4.33
2016-05-12,4.54,4.54,4.27,4.28,1939,4.28
2016-05-13,4.2,4.22,4.2,4.2,2034,4.2
2016-05-16,4.4,4.4,4.08,4.38,5060,4.38
2016-05-17,4.59,4.59,4.59,4.59,124,4.59
2016-05-18,4.81,4.81,4.81,4.81,1500,4.81
2016-05-19,5,5.04,4.6,4.6,2301,4.6
2016-05-20,4.83,4.83,4.41,4.83,1205,4.83
2016-05-23,5.06,5.06,4.59,4.99,5552,4.99
2016-05-24,4.75,4.75,4.75,4.75,40,4.75
2016-05-25,4.75,4.75,4.52,4.52,6868,4.52
2016-05-26,4.3,4.3,4.3,4.3,5650,4.3
2016-05-27,4.09,4.09,4.09,4.09,4000,4.09
2016-05-30,4.01,4.01,3.9,3.92,1542,3.92
2016-05-31,3.92,3.92,3.75,3.79,2596,3.79
2016-06-01,3.75,3.97,3.65,3.97,1603,3.97
2016-06-02,3.78,3.78,3.78,3.78,300,3.78
2016-06-03,3.62,3.96,3.6,3.73,9371,3.73
2016-06-06,3.73,3.91,3.65,3.91,4512,3.91
2016-06-07,4.1,4.1,3.72,3.77,3391,3.77
2016-06-08,3.82,3.82,3.82,3.82,81,3.82
2016-06-09,3.82,3.82,3.82,3.82,0,3.82
2016-06-10,4.01,4.01,4.01,4.01,5,4.01
2016-06-13,4.2,4.21,4.2,4.21,1780,4.21
2016-06-14,4.42,4.42,4.42,4.42,220,4.42
2016-06-15,4.42,4.64,4.42,4.64,675,4.64
2016-06-16,4.81,4.81,4.81,4.81,75,4.81
2016-06-17,4.57,4.8,4.57,4.75,685,4.75
2016-06-20,4.96,4.96,4.96,4.96,75,4.96
2016-06-21,5.04,5.1,5.04,5.04,2220,5.04
2016-06-22,5.15,5.15,4.81,5.12,985,5.12
2016-06-23,5.15,5.15,5.05,5.05,6901,5.05
2016-06-24,5.12,5.14,4.8,4.81,3320,4.81
2016-06-27,5.05,5.05,5.04,5.04,800,5.04
2016-06-28,5.04,5.04,5.04,5.04,0,5.04
2016-06-29,5.15,5.15,4.86,5,510,5
2016-06-30,5,5.04,5,5.04,300,5.04
2016-07-01,4.79,5.03,4.79,5.03,280,5.03
2016-07-04,4.78,5.06,4.78,5.03,5118,5.03
2016-07-05,5.25,5.25,4.8,5.2,5181,5.2
2016-07-07,5.2,5.46,4.94,5.01,10109,5.01
2016-07-08,5.01,5.01,5.01,5.01,0,5.01
2016-07-11,5.2,5.2,4.83,5,2020,5
2016-07-12,4.82,5.18,4.75,5.06,8620,5.06
2016-07-13,5.31,5.31,4.91,4.97,2887,4.97
2016-07-14,5.2,5.21,5.2,5.21,1224,5.21
2016-07-15,5.46,5.47,5.46,5.47,14375,5.47
2016-07-18,5.5,5.74,5.45,5.5,13820,5.5
2016-07-19,5.77,5.77,5.27,5.7,7030,5.7
2016-07-20,5.5,5.7,5.5,5.7,110,5.7
2016-07-21,5.42,5.76,5.42,5.64,2102,5.64
2016-07-22,5.64,5.7,5.64,5.64,1150,5.64
2016-07-25,5.75,5.75,5.36,5.54,8538,5.54
2016-07-26,5.75,5.75,5.27,5.3,3976,5.3
2016-07-27,5.52,5.53,5.3,5.49,1003,5.49
2016-07-28,5.49,5.49,5.49,5.49,0,5.49
2016-07-29,5.3,5.75,5.3,5.62,3760,5.62
2016-08-01,5.35,5.5,5.34,5.5,1311,5.5
2016-08-02,5.23,5.75,5.23,5.49,1800,5.49
2016-08-03,5.5,5.75,5.5,5.5,2888,5.5
2016-08-04,5.77,5.77,5.23,5.35,5540,5.35
2016-08-05,4.83,5.75,4.83,5.74,2220,5.74
2016-08-08,6.3,6.31,5.2,5.5,11959,5.5
2016-08-09,5.21,5.58,5,5.38,3970,5.38
2016-08-10,5.8,5.8,5.05,5.11,2742,5.11
2016-08-11,5.01,5.01,5.01,5.01,620,5.01
2016-08-12,5,5.28,4.56,5.11,5815,5.11
2016-08-16,5.11,5.48,4.61,5.48,1165,5.48
2016-08-17,5.48,5.83,5.25,5.83,50,5.83
2016-08-18,5.51,5.51,5.25,5.32,4510,5.32
2016-08-19,4.81,5.4,4.81,4.91,1890,4.91
2016-08-22,5,5,5,5,1690,5
2016-08-23,4.61,5.5,4.61,5.45,3000,5.45
2016-08-24,4.93,5.8,4.93,5.3,11897,5.3
2016-08-25,5,5.83,5,5.77,36481,5.77
2016-08-26,5.36,5.76,5.23,5.25,30081,5.25
2016-08-29,4.94,5.2,4.94,5.19,1840,5.19
2016-08-30,5.68,5.69,5.2,5.48,5591,5.48
2016-08-31,5.99,5.99,5.16,5.35,4282,5.35
2016-09-01,5.78,5.78,5.06,5.54,2222,5.54
2016-09-02,5.65,5.65,5.07,5.08,3056,5.08
2016-09-06,5.08,5.6,5.08,5.6,1810,5.6
2016-09-07,5.6,5.6,5,5.09,11525,5.09
2016-09-08,4.71,4.71,4.71,4.71,50,4.71
2016-09-09,5.39,5.39,4.6,5.32,220,5.32
2016-09-12,6.14,6.14,4.8,4.98,27931,4.98
2016-09-14,4.98,5.22,4.85,5,2750,5
2016-09-15,5.2,5.2,5,5,2103,5
2016-09-16,5.8,5.8,5.03,5.1,6151,5.1
2016-09-19,5.5,6,5.13,5.27,43276,5.27
2016-09-20,5.49,6.3,5.03,5.27,65881,5.27
2016-09-21,5.66,5.66,5.07,5.2,8153,5.2
2016-09-22,5.68,5.68,5.21,5.21,5988,5.21
2016-09-23,5.68,5.87,5.25,5.37,10605,5.37
2016-09-26,5,5.87,5,5.45,8830,5.45
2016-09-27,5.3,5.4,5.13,5.37,4342,5.37
2016-09-28,5.41,5.74,5.38,5.5,1793,5.5
2016-09-29,5.6,5.6,4.6,5.18,11065,5.18
2016-09-30,5.32,5.32,5.25,5.3,11705,5.3
2016-10-03,5.68,5.87,4.8,5.27,14877,5.27
2016-10-04,6,6,5.27,5.27,9358,5.27
2016-10-05,5.36,5.6,5.16,5.49,15234,5.49
2016-10-06,4.6,6.4,4.6,5.63,43874,5.63
2016-10-07,5.21,5.81,5.21,5.44,21530,5.44
2016-10-10,6.39,6.39,5.33,5.4,28672,5.4
2016-10-13,5.4,6,5.3,5.54,17758,5.54
2016-10-14,5.9,5.9,5.3,5.31,6862,5.31
2016-10-17,5.7,5.7,5.36,5.6,4426,5.6
2016-10-18,5.88,5.88,5.4,5.5,7082,5.5
2016-10-19,5.88,5.88,5.35,5.44,11226,5.44
2016-10-20,5.5,5.97,5.5,5.6,24580,5.6
2016-10-21,5.6,5.73,5.51,5.57,9706,5.57
2016-10-24,5.93,6.48,5.11,5.64,21343,5.64
2016-10-25,5.74,5.74,5.32,5.5,12281,5.5
2016-10-26,5.6,5.6,5.44,5.6,1575,5.6
2016-10-27,6.55,6.55,5.54,5.56,13009,5.56
2016-10-28,5.36,5.74,5.32,5.73,2255,5.73
2016-11-01,5.73,6,5.53,5.6,29310,5.6
2016-11-02,5.36,5.58,5.3,5.36,6677,5.36
2016-11-03,5.62,5.62,5.36,5.36,940,5.36
2016-11-04,5.13,5.47,5.11,5.27,3701,5.27
2016-11-07,5.2,5.49,5.2,5.43,955,5.43
2016-11-08,5.78,5.78,5.15,5.5,4662,5.5
2016-11-09,4.43,5.45,4.43,5.21,3614,5.21
2016-11-10,5.44,5.44,5.4,5.4,710,5.4
2016-11-11,5.49,5.5,5,5,7000,5
2016-11-15,5,5.28,5,5.19,354,5.19
2016-11-16,5,5.21,4.5,5.09,11551,5.09
2016-11-17,5,5.19,4.52,4.6,11050,4.6
2016-11-18,4.65,4.99,4,4.9,10871,4.9
2016-11-21,4.98,4.98,4,4.55,2830,4.55
2016-11-22,5.24,5.24,4.12,4.53,6175,4.53
2016-11-23,5.25,5.25,4.25,4.83,7435,4.83
2016-11-24,4.9,4.9,4.4,4.44,3600,4.44
2016-11-25,4.34,5,4.34,4.89,4388,4.89
2016-11-28,4.52,4.9,4.52,4.9,1250,4.9
2016-11-29,4.53,4.53,4.53,4.53,100,4.53
