"Date","TCS.NS.Open","TCS.NS.High","TCS.NS.Low","TCS.NS.Close","TCS.NS.Volume","TCS.NS.Adjusted"
2007-09-03,535,537.5,526.700012,530.625,1248132,435.678162
2007-09-04,532.5,543.849976,530.5,533.049988,1091378,437.669403
2007-09-05,533.5,541.474976,532.549988,536.174988,1758482,440.235107
2007-09-06,532.5,540.5,530.5,539,935930,442.554688
2007-09-07,538.5,542.25,535,538.125,845788,441.836304
2007-09-10,538.125,538.125,522,523.625,1100530,429.930878
2007-09-11,547.224976,547.224976,510,511.674988,1693278,420.119049
2007-09-12,515,518.875,506.75,507.799988,1172052,416.9375
2007-09-13,512.450012,517.5,505.200012,515.400024,1076536,423.177612
2007-09-14,525,525,509.049988,511.225006,950114,419.749512
2007-09-17,512.5,515.900024,497.850006,498.825012,2543088,409.568298
2007-09-18,498.5,503.850006,496.5,501.225006,2471404,411.538971
2007-09-19,512.5,516.849976,508.600006,511.524994,2321334,419.995819
2007-09-20,510,511.049988,498.600006,501.024994,1177578,411.374725
2007-09-21,495.5,512.5,489,508.899994,3964330,417.840607
2007-09-24,510,515,500.100006,503.625,1797534,413.50946
2007-09-25,505,507,498.100006,500.850006,2700248,411.23111
2007-09-26,505,524.400024,502.5,520.375,4170446,427.262451
2007-09-27,525,533.75,523.5,531.25,4301070,436.191528
2007-09-28,512.5,540,512.5,530.075012,3124766,435.226776
2007-10-01,530.5,530.5,511.5,520.825012,1088290,427.631836
2007-10-03,525,547.5,524.950012,539.599976,2561436,443.047394
2007-10-04,542.5,542.5,527,539.650024,2179902,443.088562
2007-10-05,539.650024,539.650024,528.650024,536.400024,872024,440.419983
2007-10-08,540.525024,549.400024,531.099976,539.174988,1331072,442.698303
2007-10-09,540,552.400024,537.650024,547.474976,1853820,449.513245
2007-10-10,552.349976,565.125,549.200012,562.75,1991618,462.055115
2007-10-11,567.5,567.700012,530,536,2799170,440.091522
2007-10-12,526,537.5,515.150024,531.75,2456460,436.601929
2007-10-15,535,545.825012,529.875,537.075012,3435800,440.974121
2007-10-16,550,557.5,530.5,534.200012,3530264,438.613708
2007-10-17,530,557.5,500,547.349976,3462220,449.410583
2007-10-18,567.5,574.950012,538.650024,561.924988,6822718,461.377686
2007-10-19,573.924988,575,541.200012,554.424988,4047066,455.219757
2007-10-22,558.5,558.5,532.549988,535.974976,1918404,442.465057
2007-10-23,534,550,529.5,531.799988,2931182,439.018616
2007-10-24,550,550,521.650024,524,2050494,432.579376
2007-10-25,529.5,530,519.075012,524.799988,2462636,433.239929
2007-10-26,525,542,521.099976,535.650024,1480030,442.196991
2007-10-29,544.5,545,530.700012,534,1768026,440.834656
2007-10-30,536,537.5,520.150024,524.25,1572902,432.785858
2007-10-31,523.5,531.849976,508.5,519,23608264,428.451752
2007-11-01,527.5,527.5,509.75,511.524994,2759202,422.280884
2007-11-02,505,515,501.5,510.600006,1747340,421.517303
2007-11-05,510.5,515.400024,502.625,505.649994,938234,417.430939
2007-11-06,507.5,509.899994,500,502.149994,1099494,414.541565
2007-11-07,502.549988,504.575012,493.049988,498.524994,1752008,411.549011
2007-11-08,495.049988,499.899994,490,494.825012,1343482,408.494415
2007-11-12,492.625,492.625,480,481.924988,2640494,397.845154
2007-11-13,481.924988,486.350006,463.325012,473.674988,2348994,391.034576
2007-11-14,480,522.549988,480,493.350006,1794184,407.276855
2007-11-15,495.5,498.950012,485,490.100006,1147698,404.593842
2007-11-16,490,499,483.575012,491.450012,1833408,405.708374
2007-11-19,480.049988,503.5,480.049988,496.75,1471774,410.083679
2007-11-20,494.5,494.5,479.049988,480.649994,2055696,396.792603
2007-11-21,480.649994,490,468,472.399994,1668514,389.981934
2007-11-22,484.850006,484.850006,467.5,475.100006,1201178,392.210876
2007-11-23,476.25,483,474.875,480.475006,1136770,396.648071
2007-11-26,490,497,485,492.549988,1117150,406.616364
2007-11-27,495.25,499.450012,485.049988,497.975006,751982,411.09494
2007-11-28,500,501.899994,485,488.25,1463844,403.066467
2007-11-29,500,500.25,477.5,483.024994,2514844,398.753174
2007-11-30,483.024994,509,483.024994,506.100006,2667306,417.802399
2007-12-03,508,533,505.200012,524.950012,3258174,433.36377
2007-12-04,524.950012,525,512.525024,514.849976,891912,425.025726
2007-12-05,515,522.5,510.25,516.599976,1034620,426.47052
2007-12-06,520,525.849976,515.599976,517.775024,2081726,427.440582
2007-12-07,520,536.025024,513.125,531.299988,2402904,438.605988
2007-12-10,535.049988,537,515,517.799988,1932010,427.46106
2007-12-11,524.5,524.5,512.625,520.650024,1453728,429.813873
2007-12-12,514.099976,530,513.049988,526.700012,1859304,434.80838
2007-12-13,524.849976,531.049988,513.849976,514.799988,2322868,424.984467
2007-12-14,507.649994,527.5,507.649994,520.200012,1360218,429.442383
2007-12-17,536.200012,536.200012,502.5,506.200012,1601664,417.884949
2007-12-18,505,520,501.649994,502.450012,1922930,414.789307
2007-12-19,506,514.400024,504,512.25,1335510,422.879425
2007-12-20,514.75,526.974976,511.5,522.674988,1518010,431.485565
2007-12-24,540,560,525,554.849976,2327832,458.047119
2007-12-26,557.5,559.849976,543.075012,550.150024,1452998,454.167145
2007-12-27,552.549988,560,543.275024,555.375,2004284,458.480408
2007-12-28,550,550,530,541.075012,1098298,446.675568
2007-12-31,541.5,548.025024,526,538.700012,1078084,444.714752
2008-01-01,538.5,538.5,526,527.275024,464194,435.283081
2008-01-02,530,530.5,515.75,525,1432462,433.404968
2008-01-03,515.049988,522.5,502.674988,505.524994,2584140,417.327728
2008-01-04,505.524994,511.450012,501.149994,502.600006,1159434,414.912903
2008-01-07,500,504.399994,486.25,487.799988,1823672,402.695068
2008-01-08,490,496,484.649994,493.924988,1603866,407.751495
2008-01-09,497.399994,503,494.950012,498.149994,1225064,411.239502
2008-01-10,499,504.75,481,490.825012,1671188,405.192413
2008-01-11,457.674988,502,457.674988,494.875,1074594,408.535828
2008-01-14,499.899994,499.899994,477.799988,480.575012,2079432,396.730682
2008-01-15,482.5,484,467,470,1467794,388.000671
2008-01-16,470,483.350006,462.5,472.475006,1565978,390.043823
2008-01-17,482.899994,483,459.5,461.350006,3151048,380.859802
2008-01-18,464.75,470,448.549988,451.600006,2166908,372.810883
2008-01-21,452,452.350006,402.625,415.524994,2420016,343.029755
2008-01-22,407.350006,495,362.5,400.125,3188436,330.316498
2008-01-23,429.5,445,402.5,435.975006,2679560,362.630859
2008-01-24,435,444,412.875,421.625,1006668,350.694885
2008-01-25,426.5,448.850006,425.049988,442.299988,1121558,367.891693
2008-01-28,435,435,412.5,427.149994,1242830,355.290405
2008-01-29,428,442.299988,427.5,433.850006,1629356,360.863281
2008-01-30,441,446,430,434.924988,1516428,361.757355
2008-01-31,435,445,417.674988,436.875,2983478,363.379211
2008-02-01,442.5,470.549988,436.649994,464.75,2084760,386.564911
2008-02-04,472.5,494.5,469.5,487.825012,1865260,405.757965
2008-02-05,480,487.5,467.825012,477.524994,861436,397.190796
2008-02-06,465,465,447.25,453.049988,2003976,376.833252
2008-02-07,453.049988,453.049988,435.524994,439.524994,1287326,365.583557
2008-02-08,442,462.5,440,449.200012,1288410,373.630951
2008-02-11,449.200012,466,430.049988,453.049988,1600494,376.833252
2008-02-12,452.5,462.5,430,432.325012,2580664,359.594788
2008-02-13,437.5,448.5,425.649994,434.475006,1092688,361.383118
2008-02-14,442.5,450,430.5,436.899994,1123240,363.400208
2008-02-15,430,443.524994,430,436.350006,1106522,362.942596
2008-02-18,436.350006,437.5,425,426.600006,861580,354.832916
2008-02-19,428,442,427.5,437.725006,973644,364.086365
2008-02-20,439.950012,447.325012,436.625,443.049988,1530312,368.515533
2008-02-21,449,465.5,441,457.325012,1781026,380.389069
2008-02-22,460,460.450012,442.5,450.274994,1200758,374.525116
2008-02-25,464,464.5,445.125,450.375,1627730,374.608307
2008-02-26,462,462,447.5,449.200012,2499792,373.630951
2008-02-27,454,457.424988,437.024994,438.774994,1182028,364.959686
2008-02-28,442.5,445,436,440.450012,2789502,366.352905
2008-02-29,440,445.850006,431.75,438.700012,1708240,364.897247
2008-03-03,433,434.350006,420,424.299988,1570664,352.919769
2008-03-04,429,435,423.549988,429.399994,1505266,357.161835
2008-03-05,422.5,441.399994,422.5,437.649994,1104674,364.023926
2008-03-07,431.299988,433.049988,421.125,423.075012,998414,351.901001
2008-03-10,423.075012,427,415,416.825012,1247084,346.702362
2008-03-11,420,420,410,411.75,2021760,342.48111
2008-03-12,419.5,425,405.125,411.774994,942206,342.501953
2008-03-13,407.5,407.5,380.5,389.850006,1704300,324.26532
2008-03-14,390,406.450012,375,401.924988,1108028,334.30899
2008-03-17,387.5,398.850006,384.375,395.924988,979452,329.318481
2008-03-18,395,414.399994,385,408.850006,1798040,340.068909
2008-03-19,414,420,402.774994,405.725006,2180962,337.469757
2008-03-24,405.725006,418.75,405.725006,411.850006,1650992,342.56427
2008-03-25,420,449.924988,417.5,438.25,1464448,364.523071
2008-03-26,470,470,425.774994,439.174988,1085884,365.292511
2008-03-27,436,438,420.549988,426.25,3075576,354.541809
2008-03-28,426.5,437.350006,426,435.524994,1816848,362.2565
2008-03-31,435.524994,435.524994,398.5,405.225006,2025930,337.053772
2008-04-01,410,426.450012,405,416.174988,1043364,346.161774
2008-04-02,425,434.5,424.625,425.625,714422,354.022034
2008-04-03,425,446,425,442.700012,1643586,368.224365
2008-04-04,443,444.950012,430.024994,436.450012,1010422,363.025879
2008-04-07,447.5,460.049988,439.100006,452.049988,1829764,376.001404
2008-04-08,452.5,453.5,437.5,443.674988,2027676,369.03537
2008-04-09,440,446,434.5,438.125,741300,364.419128
2008-04-10,440,459.825012,438.5,449.774994,1462966,374.109161
2008-04-11,451.524994,462.5,446.625,454,1094632,377.62326
2008-04-15,461,492.5,440.200012,487.075012,2851886,405.134216
2008-04-16,492.5,501,481,485.950012,3219384,404.198364
2008-04-17,499.850006,505,489.774994,500.450012,1999778,416.259033
2008-04-21,504.5,517.5,493.299988,496.700012,1699648,413.140045
2008-04-22,492.475006,492.475006,441,443.600006,6892598,368.972961
2008-04-23,443.5,452.850006,440.024994,444.575012,3163078,369.783966
2008-04-24,452,452.450012,432,445.375,7645048,370.44931
2008-04-25,456,456,442.5,444.649994,3414284,369.846375
2008-04-28,404.5,448,360,440.850006,3299068,366.685638
2008-04-29,441.024994,465,435.075012,455.274994,8104924,378.683899
2008-04-30,458.049988,467.875,453.25,460.5,4743990,383.029968
2008-05-02,462.5,481,462,471.875,2649390,392.491241
2008-05-05,472.5,474.75,460.575012,463.725006,1806882,385.712372
2008-05-06,455,475,436.299988,468.524994,1991398,389.704926
2008-05-07,475,489.950012,475,483.375,6292770,402.056641
2008-05-08,482.450012,482.5,459,473.5,5422916,393.842926
2008-05-09,479.5,479.5,455,458.5,2246148,381.366425
2008-05-12,458.5,467.424988,455.149994,463.450012,1949254,385.483643
2008-05-13,465,470.700012,444.5,452.524994,2231438,376.396576
2008-05-14,452.5,489.475006,445.575012,485.575012,4686594,403.886536
2008-05-15,486.5,501,480.049988,492.375,3588948,409.54248
2008-05-16,497,497,484.25,490.524994,1919324,408.003723
2008-05-20,487.5,495,473.625,478.049988,2473452,397.62735
2008-05-21,464,484,457.5,482.549988,1570092,401.370544
2008-05-22,478.25,492.75,475.5,480.575012,2722600,399.727692
2008-05-23,487.450012,489.850006,463.049988,466.200012,2700692,387.771057
2008-05-26,460,481.450012,458,477.725006,2728636,397.357086
2008-05-27,490,497,473,484.450012,2841036,402.950806
2008-05-28,485.049988,507.625,485.049988,504.725006,2734794,419.81488
2008-05-29,504.5,514.174988,492,497.325012,4129470,413.659882
2008-05-30,495.5,524.5,489,519.575012,7742642,432.166718
2008-06-02,507.5,528.700012,482.5,491.924988,3527382,409.168243
2008-06-03,480,495,469.075012,487.575012,2450128,405.550079
2008-06-04,494.899994,494.899994,473.174988,478.375,1893928,397.897888
2008-06-05,482.049988,498.399994,482,490.924988,2952628,408.336487
2008-06-06,495,499.325012,478.899994,483.100006,2068892,401.82782
2008-06-09,451.125,482.450012,445,457.049988,3070070,380.160339
2008-06-10,455,459.5,433.5,439.5,3077686,365.562622
2008-06-11,445,455,440,445.174988,2056684,370.283051
2008-06-12,447,451.200012,428.5,444.125,1232002,369.409698
2008-06-13,440,460.950012,440,454.799988,3366216,378.288818
2008-06-16,459.5,464,451.625,455.399994,3270892,378.787933
2008-06-17,452.5,463.5,452.5,460.649994,1752412,383.154694
2008-06-18,460.399994,460.5,445.5,450.450012,3215668,378.781921
2008-06-19,440.125,449,440,444,1644534,373.358215
2008-06-20,449.950012,449.950012,420.774994,431.924988,4078880,363.204437
